supplier_id,supplier_name,country,sector,tier,esg_score,risk_rating,emission_contribution_tco2e,audit_status,last_audit_date,key_risk_factors,annual_spend_inr_crores,scope3_category,single_source_flag,emission_factor_source
SUP-00032,Granite Enterprises Pvt Ltd,Malaysia,Electronics,Tier 1,62.8,Medium,926.5,Compliant,2021-03-03,"Climate transition risk, Living wage, Air emissions",50.84,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00033,Cygnus Resources AG,Mexico,Catering & Facilities,Tier 1,78.7,Low,263.0,Action Plan,2021-01-11,Labor practices,13.82,Cat 6: Business Travel,No,Internal Engineering Estimate
SUP-00034,Borealis Chemicals SA,Germany,Steel & Metals,Tier 2,53.1,High,8175.7,Compliant,2021-06-21,"Water stress, Energy intensity, Labor practices",57.21,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00035,Kestrel Systems Corp,Italy,Electronics,Tier 2,54.4,Medium,317.3,Pending,2023-07-23,Data security,17.55,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00036,Juno Engineering GmbH,India,Energy Services,Tier 1,83.5,Medium,2202.1,Compliant,2024-02-05,Biodiversity impact,18.32,Cat 3: Fuel & Energy Related,No,DEFRA UK 2024
SUP-00037,Kestrel Materials Corp,Bangladesh,Electronics,Tier 2,64.6,Medium,123.2,Re-audit Required,2022-12-17,"Tax transparency, Waste disposal",5.89,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00038,Quasar Solutions SA,UAE,Engineering Services,Tier 1,60.6,Medium,40.9,Compliant,2021-08-16,"Forced labor risk, Water stress, Ethical sourcing",5.98,Cat 2: Capital Goods,Yes,EPA Emission Factors Hub 2024
SUP-00039,Ember Holdings Corp,India,Industrial Equipment,Tier 1,66.2,High,48.7,Pending,2024-01-10,"Tax transparency, Effluent management, Forced labor risk, Waste disposal",2.68,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00040,Yarrow Trading Ltd,Germany,Catering & Facilities,Tier 1,83.0,Low,51.0,Compliant,2023-05-17,"Tax transparency, Air emissions",4.83,Cat 6: Business Travel,No,GLEC Framework v3.0
SUP-00041,Ember Components Co,South Africa,Energy Services,Tier 1,68.1,Low,370.3,Compliant,2024-10-26,Bribery & corruption,3.08,Cat 3: Fuel & Energy Related,No,EXIOBASE v3.8
SUP-00042,Vector Technologies Pvt Ltd,China,IT Services,Tier 1,70.1,Low,27.0,Compliant,2021-05-19,Labor practices,5.28,Cat 15: Investments,No,EXIOBASE v3.8
SUP-00043,Ember Materials Inc,Mexico,Construction,Tier 1,47.8,Medium,746.7,Compliant,2024-01-15,Labor practices,8.59,Cat 2: Capital Goods,No,Industry Average (IEA)
SUP-00044,Yarrow Systems Inc,Brazil,Mining,Tier 2,57.7,High,7831.1,Re-audit Required,2023-08-02,"Energy intensity, Conflict minerals, Waste disposal, Ethical sourcing",57.26,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00045,Orion Enterprises GmbH,Germany,Pharmaceuticals,Tier 3,53.2,High,160.9,Overdue,2021-05-15,"Biodiversity impact, Labor practices, Living wage, Energy intensity",5.36,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00046,Fortis Systems Inc,Spain,Construction,Tier 2,68.3,Medium,3693.8,Compliant,2024-10-06,Forced labor risk,42.7,Cat 2: Capital Goods,No,USEEIO v2.0
SUP-00047,Yarrow Works Pvt Ltd,Indonesia,Catering & Facilities,Tier 1,61.2,Low,117.5,Compliant,2023-11-26,,7.26,Cat 6: Business Travel,No,GLEC Framework v3.0
SUP-00048,Cygnus Holdings Pvt Ltd,Indonesia,Agriculture,Tier 1,69.6,Medium,1355.5,Compliant,2023-05-13,Ethical sourcing,14.02,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00049,Tempus Industries GmbH,Sri Lanka,Catering & Facilities,Tier 3,33.4,Critical,482.4,Pending,2023-03-13,"Energy intensity, Climate transition risk, Living wage, Air emissions, Diversity gap",34.73,Cat 6: Business Travel,No,Internal Engineering Estimate
SUP-00050,Fortis Chemicals Ltd,Malaysia,Pharmaceuticals,Tier 1,95.0,Low,222.9,Action Plan,2022-06-12,,5.64,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00051,Juno Engineering Ltd,Sri Lanka,Agriculture,Tier 2,62.2,Medium,2256.4,Re-audit Required,2024-07-02,Air emissions,24.04,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00052,Beacon Logistics Inc,Germany,Plastics & Polymers,Tier 1,84.1,Medium,347.5,Compliant,2024-04-22,"Forced labor risk, Living wage, Bribery & corruption",4.69,Cat 11: Use of Sold Products,No,EcoInvent v3.10
SUP-00053,Quasar Manufacturing Co,South Korea,Steel & Metals,Tier 1,75.3,Low,130.4,Compliant,2022-03-27,Water stress,1.14,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00054,Meridian Distributors Pvt Ltd,Vietnam,Plastics & Polymers,Tier 1,64.7,Medium,492.1,Pending,2022-08-12,"Worker safety, Labor practices",5.44,Cat 11: Use of Sold Products,No,Supplier-reported (EcoVadis)
SUP-00055,Falcon Packaging SA,Brazil,Energy Services,Tier 1,80.3,Low,2532.3,Compliant,2021-11-07,,29.38,Cat 3: Fuel & Energy Related,No,Supplier-reported (CDP)
SUP-00056,Zenith Holdings Ltd,Germany,Packaging,Tier 2,65.1,Medium,206.7,Compliant,2022-12-18,Child labor risk,4.66,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00057,Polaris Components AG,Vietnam,IT Services,Tier 1,67.5,Medium,42.4,Compliant,2023-12-05,"Worker safety, Effluent management, Water stress",8.3,Cat 15: Investments,No,Industry Average (IEA)
SUP-00058,Borealis Components Corp,Malaysia,Transportation,Tier 1,75.8,Medium,190.9,Compliant,2024-04-03,"Effluent management, Tax transparency, Bribery & corruption",3.15,Cat 4: Upstream Transportation,No,Industry Average (IEA)
SUP-00059,Tempus Holdings Ltd,Italy,Agriculture,Tier 1,83.3,Low,359.2,Pending,2023-06-21,Diversity gap,5.03,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00060,Gemini Systems AG,Malaysia,Agriculture,Tier 2,63.6,Low,2057.0,Compliant,2021-05-19,"Worker safety, Data security",23.56,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00061,Borealis Resources Corp,France,Engineering Services,Tier 2,55.1,Critical,26.9,Overdue,2022-04-26,"Labor practices, Diversity gap, Forced labor risk, Ethical sourcing, Bribery & corruption",4.2,Cat 2: Capital Goods,No,USEEIO v2.0
SUP-00062,Nimbus Technologies GmbH,Turkey,IT Services,Tier 1,81.9,Low,15.5,Pending,2024-02-16,,5.47,Cat 15: Investments,No,EXIOBASE v3.8
SUP-00063,Helios Resources Corp,Indonesia,IT Services,Tier 1,74.4,Medium,37.0,Pending,2024-11-13,"Bribery & corruption, Effluent management",7.16,Cat 15: Investments,No,Internal Engineering Estimate
SUP-00064,Apex Solutions Pvt Ltd,France,Transportation,Tier 1,64.7,Medium,242.7,Compliant,2021-06-04,"Climate transition risk, Child labor risk, Tax transparency",3.3,Cat 9: Downstream Transportation,No,EXIOBASE v3.8
SUP-00065,Orion Services AG,Vietnam,Logistics,Tier 2,56.0,High,522.1,Action Plan,2024-02-14,"Effluent management, Child labor risk, Data security, Worker safety",6.21,Cat 4: Upstream Transportation,No,DEFRA UK 2024
SUP-00066,Nimbus Group Co,India,IT Services,Tier 1,70.0,Medium,56.1,Pending,2024-07-25,Waste disposal,13.84,Cat 15: Investments,No,GLEC Framework v3.0
SUP-00067,Polaris Industries AG,Brazil,Mining,Tier 1,86.0,Low,877.6,Re-audit Required,2022-10-27,"Climate transition risk, Conflict minerals",4.49,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00068,Zenith Holdings Co,Sri Lanka,Pharmaceuticals,Tier 1,76.9,High,194.1,Compliant,2023-10-01,"Water stress, Biodiversity impact, Tax transparency, Energy intensity",6.22,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00069,Drake Logistics Corp,Egypt,Catering & Facilities,Tier 1,74.9,Medium,295.4,Compliant,2021-02-28,"Bribery & corruption, Labor practices, Air emissions",16.79,Cat 6: Business Travel,No,EPA Emission Factors Hub 2024
SUP-00070,Cygnus Enterprises Pvt Ltd,United Kingdom,Packaging,Tier 3,28.3,Critical,416.3,Compliant,2024-06-14,"Conflict minerals, Biodiversity impact, Labor practices, Air emissions",10.56,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00071,Juno Polymers GmbH,Netherlands,Plastics & Polymers,Tier 2,70.4,Critical,309.9,Compliant,2021-04-05,"Bribery & corruption, Forced labor risk, Child labor risk, Biodiversity impact, Worker safety",3.19,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00072,Wolfram Services Corp,Malaysia,Construction,Tier 1,87.1,Low,98.6,Compliant,2024-02-16,,1.76,Cat 2: Capital Goods,No,Supplier-reported (CDP)
SUP-00073,Eclipse Industries Pvt Ltd,Bangladesh,IT Services,Tier 2,57.6,Medium,44.3,Pending,2021-12-28,"Forced labor risk, Climate transition risk",15.81,Cat 15: Investments,No,DEFRA UK 2024
SUP-00074,Falcon Distributors Co,Bangladesh,Chemicals,Tier 1,74.8,Medium,546.7,Compliant,2022-01-19,"Biodiversity impact, Tax transparency, Child labor risk",6.86,Cat 11: Use of Sold Products,No,Supplier-reported (EcoVadis)
SUP-00075,Zenith Distributors Ltd,Bangladesh,Transportation,Tier 1,65.8,Low,818.9,Action Plan,2023-08-16,,9.91,Cat 9: Downstream Transportation,No,Industry Average (IEA)
SUP-00076,Juno Industries Pvt Ltd,Germany,Manufacturing,Tier 2,59.1,Critical,888.2,Overdue,2024-07-13,"Forced labor risk, Conflict minerals, Data security, Waste disposal",42.66,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00077,Apex Solutions LLP,France,Transportation,Tier 1,82.0,Low,822.0,Pending,2022-10-26,"Conflict minerals, Forced labor risk",11.29,Cat 4: Upstream Transportation,No,EPA Emission Factors Hub 2024
SUP-00078,Vector Logistics SA,France,Steel & Metals,Tier 2,66.2,Medium,1004.1,Overdue,2024-04-08,"Data security, Effluent management, Labor practices",7.6,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00079,Zenith Resources SA,Australia,Mining,Tier 3,54.5,Medium,209.2,Action Plan,2023-11-04,Diversity gap,1.49,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00080,Tempus Packaging Co,India,IT Services,Tier 2,51.2,Medium,44.8,Action Plan,2024-03-06,"Forced labor risk, Conflict minerals",10.58,Cat 15: Investments,No,DEFRA UK 2024
SUP-00081,Indus Systems Ltd,Germany,Construction,Tier 2,50.6,High,936.0,Overdue,2023-02-16,"Data security, Effluent management",16.03,Cat 2: Capital Goods,No,GLEC Framework v3.0
SUP-00082,Juno Logistics SA,Brazil,Energy Services,Tier 2,74.4,Low,443.6,Action Plan,2022-06-25,,5.44,Cat 3: Fuel & Energy Related,No,EPA Emission Factors Hub 2024
SUP-00083,Drake Trading AG,South Korea,Agriculture,Tier 1,65.2,Low,592.3,Compliant,2021-06-19,,5.64,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00084,Lumen Resources GmbH,Indonesia,Transportation,Tier 2,71.7,Medium,516.0,Compliant,2024-02-22,"Effluent management, Labor practices",7.15,Cat 4: Upstream Transportation,Yes,DEFRA UK 2024
SUP-00085,Xenon Logistics AG,Egypt,Pharmaceuticals,Tier 2,83.8,Low,754.9,Compliant,2021-07-09,,21.75,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00086,Polaris Packaging GmbH,Egypt,Mining,Tier 1,71.0,Low,701.3,Re-audit Required,2024-07-25,Labor practices,4.15,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00087,Cygnus Industries SA,Vietnam,Industrial Equipment,Tier 3,55.6,High,264.2,Overdue,2023-03-27,"Data security, Climate transition risk",9.13,Cat 2: Capital Goods,No,Supplier-reported (CDP)
SUP-00088,Ember Components LLP,South Africa,Manufacturing,Tier 2,57.5,High,41.7,Overdue,2021-02-07,"Water stress, Bribery & corruption",1.9,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00089,Apex Technologies SA,Indonesia,Transportation,Tier 1,50.3,High,286.3,Overdue,2023-09-07,"Tax transparency, Climate transition risk",5.22,Cat 9: Downstream Transportation,Yes,USEEIO v2.0
SUP-00090,Orion Polymers GmbH,Vietnam,Chemicals,Tier 2,40.6,Medium,457.4,Pending,2021-01-15,"Ethical sourcing, Worker safety",3.9,Cat 1: Purchased Goods & Services,No,Industry Average (IEA)
SUP-00091,Kestrel Resources SA,Malaysia,Chemicals,Tier 2,53.2,Medium,1751.5,Action Plan,2024-04-01,"Ethical sourcing, Data security",17.82,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00092,Juno Components SA,Malaysia,Energy Services,Tier 2,35.5,High,203.2,Overdue,2024-10-18,"Data security, Biodiversity impact",1.67,Cat 3: Fuel & Energy Related,No,EXIOBASE v3.8
SUP-00093,Hyperion Logistics LLP,Germany,Steel & Metals,Tier 1,79.9,Low,2808.6,Compliant,2023-04-17,Conflict minerals,16.28,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00094,Yarrow Engineering Co,Sri Lanka,Steel & Metals,Tier 1,41.1,Critical,980.4,Overdue,2021-07-01,"Tax transparency, Worker safety, Living wage",6.05,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00095,Gemini Manufacturing Co,France,Plastics & Polymers,Tier 1,90.8,Low,314.4,Compliant,2021-07-22,,3.35,Cat 11: Use of Sold Products,No,Industry Average (IEA)
SUP-00096,Orion Manufacturing LLP,South Korea,Mining,Tier 2,71.7,Low,6634.1,Pending,2021-02-06,,34.86,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00097,Helios Polymers GmbH,Indonesia,Electronics,Tier 2,39.5,High,219.1,Overdue,2022-07-27,"Ethical sourcing, Conflict minerals, Energy intensity",9.02,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00098,Orion Logistics GmbH,France,Pharmaceuticals,Tier 2,58.2,High,885.5,Compliant,2023-04-08,"Ethical sourcing, Waste disposal, Effluent management",24.46,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00099,Indus Works Corp,Japan,Manufacturing,Tier 3,53.3,Medium,259.4,Compliant,2022-08-28,"Child labor risk, Data security, Forced labor risk",11.88,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00100,Beacon Systems Pvt Ltd,Mexico,Pharmaceuticals,Tier 3,49.8,Critical,587.3,Pending,2024-06-26,"Effluent management, Child labor risk, Bribery & corruption, Biodiversity impact",17.89,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00101,Falcon Industries Pvt Ltd,Germany,Construction,Tier 1,74.9,Medium,884.8,Compliant,2023-04-01,Bribery & corruption,12.28,Cat 2: Capital Goods,No,EcoInvent v3.10
SUP-00102,Granite Systems LLP,Italy,Packaging,Tier 1,57.2,Low,549.0,Compliant,2021-06-03,Air emissions,14.36,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00103,Ember Logistics AG,Netherlands,Engineering Services,Tier 2,61.9,Low,215.2,Pending,2021-05-09,Biodiversity impact,23.49,Cat 2: Capital Goods,No,GLEC Framework v3.0
SUP-00104,Quasar Logistics Inc,China,Agriculture,Tier 3,48.7,Medium,1663.5,Pending,2021-09-28,"Energy intensity, Diversity gap, Tax transparency",17.85,Cat 1: Purchased Goods & Services,No,DEFRA UK 2024
SUP-00105,Fortis Distributors Co,South Africa,Construction,Tier 1,82.4,Low,1013.6,Pending,2022-04-19,Tax transparency,20.01,Cat 2: Capital Goods,No,USEEIO v2.0
SUP-00106,Falcon Resources GmbH,Germany,Energy Services,Tier 1,64.8,Medium,607.6,Compliant,2022-04-14,"Child labor risk, Effluent management",4.36,Cat 3: Fuel & Energy Related,No,GLEC Framework v3.0
SUP-00107,Helios Packaging LLP,Mexico,Electronics,Tier 3,25.8,High,588.4,Pending,2022-08-22,"Energy intensity, Water stress, Labor practices, Child labor risk",21.61,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00108,Yarrow Resources Corp,South Korea,Mining,Tier 1,68.4,Medium,4287.9,Compliant,2021-04-01,"Labor practices, Climate transition risk, Waste disposal",23.99,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00109,Falcon Distributors SA,Saudi Arabia,Energy Services,Tier 2,69.7,High,1604.7,Overdue,2021-04-23,"Ethical sourcing, Child labor risk, Living wage, Bribery & corruption",12.84,Cat 3: Fuel & Energy Related,No,GLEC Framework v3.0
SUP-00110,Lumen Components LLP,Saudi Arabia,Transportation,Tier 3,53.9,Critical,558.8,Action Plan,2023-07-14,"Bribery & corruption, Worker safety, Biodiversity impact",8.66,Cat 4: Upstream Transportation,No,Supplier-reported (CDP)
SUP-00111,Solstice Holdings Co,Netherlands,Energy Services,Tier 2,42.5,High,5663.1,Overdue,2022-08-06,"Biodiversity impact, Tax transparency, Diversity gap, Air emissions",63.55,Cat 3: Fuel & Energy Related,No,EPA Emission Factors Hub 2024
SUP-00112,Cygnus Solutions Inc,Italy,Manufacturing,Tier 1,76.1,Low,262.8,Compliant,2022-02-15,"Energy intensity, Water stress",10.29,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00113,Wolfram Manufacturing AG,Vietnam,Pharmaceuticals,Tier 1,75.3,Low,66.4,Pending,2024-04-15,"Diversity gap, Worker safety",2.87,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00114,Borealis Components Inc,Egypt,Energy Services,Tier 1,76.0,Low,189.8,Pending,2022-07-02,,2.33,Cat 3: Fuel & Energy Related,No,EPA Emission Factors Hub 2024
SUP-00115,Cardinal Solutions Corp,Australia,Construction,Tier 2,52.4,High,363.5,Action Plan,2024-02-11,"Bribery & corruption, Ethical sourcing, Worker safety",4.51,Cat 2: Capital Goods,No,GLEC Framework v3.0
SUP-00116,Meridian Works Pvt Ltd,United Kingdom,Construction,Tier 1,82.2,Low,1342.8,Compliant,2024-06-22,"Data security, Diversity gap",17.51,Cat 2: Capital Goods,No,Industry Average (IEA)
SUP-00117,Cygnus Polymers Corp,Italy,Industrial Equipment,Tier 2,65.9,Medium,146.2,Pending,2023-05-16,"Child labor risk, Water stress",6.93,Cat 2: Capital Goods,No,GLEC Framework v3.0
SUP-00118,Fortis Resources Co,Mexico,Pharmaceuticals,Tier 3,46.9,High,274.0,Pending,2023-10-18,"Air emissions, Ethical sourcing",8.78,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00119,Yarrow Industries Corp,Thailand,Electronics,Tier 3,59.4,High,127.2,Pending,2023-06-06,"Bribery & corruption, Living wage, Forced labor risk, Conflict minerals",7.81,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00120,Tempus Systems Co,Japan,Engineering Services,Tier 1,71.9,Medium,68.2,Overdue,2022-07-08,"Water stress, Effluent management, Bribery & corruption",8.08,Cat 2: Capital Goods,No,GLEC Framework v3.0
SUP-00121,Delta Trading Ltd,Sri Lanka,Engineering Services,Tier 1,84.5,Medium,6.8,Compliant,2024-02-06,"Living wage, Bribery & corruption",1.03,Cat 2: Capital Goods,No,Supplier-reported (CDP)
SUP-00122,Kestrel Trading GmbH,Japan,Catering & Facilities,Tier 3,55.7,Medium,1014.6,Compliant,2021-12-10,"Forced labor risk, Air emissions, Bribery & corruption",61.78,Cat 6: Business Travel,No,DEFRA UK 2024
SUP-00123,Hyperion Group Ltd,Mexico,Construction,Tier 1,73.1,Low,737.1,Re-audit Required,2021-10-14,Child labor risk,12.13,Cat 2: Capital Goods,No,USEEIO v2.0
SUP-00124,Lumen Services Ltd,Italy,Chemicals,Tier 2,45.6,Low,15137.1,Compliant,2023-10-20,,182.28,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00125,Lumen Packaging LLP,Turkey,Chemicals,Tier 2,36.4,Critical,29.9,Action Plan,2021-08-14,"Tax transparency, Energy intensity, Diversity gap, Ethical sourcing",0.37,Cat 11: Use of Sold Products,No,Supplier-reported (CDP)
SUP-00126,Delta Materials Corp,Netherlands,IT Services,Tier 1,86.8,Low,24.5,Overdue,2022-04-19,Bribery & corruption,7.78,Cat 15: Investments,Yes,Supplier-reported (EcoVadis)
