risk_id,category,scenario,time_horizon,likelihood,financial_impact_inr_crores,mitigation,status,owner,affected_business_unit,risk_description
CR-00011,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Likely,12.63,PPA conversion to renewables,Mitigating,Procurement,FW-SBTI,"Cyclone disruption to Hazira, Paradip refineries"
CR-00012,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Almost Certain,32.57,Supplier contract pass-through,Open,Strategy & Planning,BIZ-FUE,"Cyclone disruption to Hazira, Paradip refineries"
CR-00013,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Possible,6.34,PPA conversion to renewables,Open,Investor Relations,OFC-CMB,"Cyclone disruption to Hazira, Paradip refineries"
CR-00014,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Likely,0.65,Hedging via carbon market,Mitigating,Strategy & Planning,FNC-CSR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00015,Physical-Acute,NGFS-NetZero2050,Long (5-10 yr),Likely,1.94,PPA conversion to renewables,Closed,Group HR,BIZ-PLM,"Cyclone disruption to Hazira, Paradip refineries"
CR-00016,Physical-Acute,NGFS-NetZero2050,Long (5-10 yr),Likely,0.74,Supplier contract pass-through,Mitigating,Strategy & Planning,PJT-TAX,"Cyclone disruption to Hazira, Paradip refineries"
CR-00017,Physical-Acute,NGFS-NetZero2050,Long (5-10 yr),Likely,4.86,Capex earmarked in 5-yr plan,Mitigating,Procurement,PJT-HRT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00018,Physical-Acute,NGFS-NetZero2050,Long (5-10 yr),Possible,13.92,Customer transition partnership,Closed,Treasury,OFC-AMD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00019,Physical-Acute,NGFS-NetZero2050,Long (5-10 yr),Possible,25.26,Supplier contract pass-through,Mitigating,Group HR,PJT-SAF,"Cyclone disruption to Hazira, Paradip refineries"
CR-00020,Physical-Acute,NGFS-NetZero2050,Long (5-10 yr),Likely,30.92,Capex earmarked in 5-yr plan,Mitigating,Plant Operations,PCH-VDR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00021,Physical-Acute,NGFS-NetZero2050,Long (5-10 yr),Likely,17.6,PPA conversion to renewables,Mitigating,Procurement,FNC-COR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00022,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Likely,10.99,Capex earmarked in 5-yr plan,Closed,Legal & Compliance,MKT-PSU,"Cyclone disruption to Hazira, Paradip refineries"
CR-00023,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Possible,234.74,Engineering controls — process,Mitigating,Group HR,REG-WST,"Cyclone disruption to Hazira, Paradip refineries"
CR-00024,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Rare,62.27,Customer transition partnership,Mitigating,Plant Operations,MKT-SMB,"Cyclone disruption to Hazira, Paradip refineries"
CR-00025,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Likely,7.23,Capex earmarked in 5-yr plan,Mitigating,EHS Director,LOG-KCH,"Cyclone disruption to Hazira, Paradip refineries"
CR-00026,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Likely,15.58,Hedging via carbon market,Closed,Legal & Compliance,PJT-EVS,"Cyclone disruption to Hazira, Paradip refineries"
CR-00027,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Almost Certain,5.03,Site-level adaptation plan,Mitigating,CRO Office,FW-CDPW,"Cyclone disruption to Hazira, Paradip refineries"
CR-00028,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Possible,23.48,Engineering controls — process,Mitigating,Group HR,PJT-CYB,"Cyclone disruption to Hazira, Paradip refineries"
CR-00029,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Possible,3.42,Customer transition partnership,Mitigating,Treasury,PJT-DIG,"Cyclone disruption to Hazira, Paradip refineries"
CR-00030,Physical-Acute,NGFS-NetZero2050,Very Long (10-30 yr),Likely,1.78,Supplier contract pass-through,Mitigating,Plant Operations,RSK-SUP,"Cyclone disruption to Hazira, Paradip refineries"
CR-00031,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Possible,7.12,Site-level adaptation plan,Mitigating,Procurement,PCH-JMG,"Cyclone disruption to Hazira, Paradip refineries"
CR-00032,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Possible,5.61,Workforce reskilling programme,Mitigating,Investor Relations,OFC-CHN,"Cyclone disruption to Hazira, Paradip refineries"
CR-00033,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Likely,38.86,Insurance coverage expanded,Mitigating,Legal & Compliance,RSK-REG,"Cyclone disruption to Hazira, Paradip refineries"
CR-00034,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Likely,21.65,Customer transition partnership,Mitigating,Plant Operations,FNC-CSR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00035,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Likely,5.6,Supplier contract pass-through,Mitigating,Plant Operations,FNC-COR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00036,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Rare,11.83,Insurance coverage expanded,Open,Treasury,FW-CSRD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00037,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Possible,26.79,Engineering controls — process,Open,Investor Relations,PJT-HRT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00038,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Possible,16.7,Insurance coverage expanded,Closed,EHS Director,RND-PUN,"Cyclone disruption to Hazira, Paradip refineries"
CR-00039,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Possible,9.75,Engineering controls — process,Mitigating,Investor Relations,PJT-NETZ,"Cyclone disruption to Hazira, Paradip refineries"
CR-00040,Physical-Acute,NGFS-DivergentNetZero,Short (0-2 yr),Possible,24.92,Workforce reskilling programme,Closed,Sustainability — Climate,MKT-B2B,"Cyclone disruption to Hazira, Paradip refineries"
CR-00041,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Likely,23.9,Workforce reskilling programme,Mitigating,Treasury,LOG-KCH,"Cyclone disruption to Hazira, Paradip refineries"
CR-00042,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Almost Certain,73.51,PPA conversion to renewables,Closed,Procurement,MKT-EXP,"Cyclone disruption to Hazira, Paradip refineries"
CR-00043,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Almost Certain,29.54,Capex earmarked in 5-yr plan,Mitigating,Group HR,RSK-LIT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00044,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Possible,104.95,Customer transition partnership,Mitigating,Investor Relations,BIZ-RNW,"Cyclone disruption to Hazira, Paradip refineries"
CR-00045,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Possible,7.01,Site-level adaptation plan,Mitigating,Sustainability — Climate,REG-EUR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00046,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Almost Certain,35.34,Capex earmarked in 5-yr plan,Mitigating,Treasury,RSK-DAT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00047,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Likely,17.72,Capex earmarked in 5-yr plan,Mitigating,Treasury,OFC-JPR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00048,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Possible,35.49,Engineering controls — process,Mitigating,Strategy & Planning,BIZ-PLM,"Cyclone disruption to Hazira, Paradip refineries"
CR-00049,Physical-Acute,NGFS-DivergentNetZero,Medium (2-5 yr),Possible,1.99,Vendor diversification programme,Mitigating,EHS Director,PJT-BIO,"Cyclone disruption to Hazira, Paradip refineries"
CR-00050,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Possible,7.72,Vendor diversification programme,Closed,CRO Office,MKT-DST,"Cyclone disruption to Hazira, Paradip refineries"
CR-00051,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Rare,2.37,Capex earmarked in 5-yr plan,Open,Investor Relations,PCH-NGT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00052,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Likely,1.11,Engineering controls — process,Open,Investor Relations,DST-LKO,"Cyclone disruption to Hazira, Paradip refineries"
CR-00053,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Possible,1.65,Engineering controls — process,Mitigating,Treasury,PJT-LIV,"Cyclone disruption to Hazira, Paradip refineries"
CR-00054,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Possible,7.59,Insurance coverage expanded,Open,Sustainability — Climate,PJT-HRT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00055,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Almost Certain,24.06,Vendor diversification programme,Mitigating,Procurement,FW-TCFD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00056,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Rare,3.99,Site-level adaptation plan,Mitigating,EHS Director,PJT-CIRC,"Cyclone disruption to Hazira, Paradip refineries"
CR-00057,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Almost Certain,42.3,Customer transition partnership,Closed,Treasury,MKT-EXP,"Cyclone disruption to Hazira, Paradip refineries"
CR-00058,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Possible,4.21,Site-level adaptation plan,Open,Group HR,FW-GRI,"Cyclone disruption to Hazira, Paradip refineries"
CR-00059,Physical-Acute,NGFS-DivergentNetZero,Long (5-10 yr),Likely,1.26,Workforce reskilling programme,Mitigating,Treasury,FW-TNFD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00060,Physical-Acute,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,2.74,Hedging via carbon market,Open,Group HR,OFC-JPR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00061,Physical-Acute,NGFS-DivergentNetZero,Very Long (10-30 yr),Possible,3.53,Vendor diversification programme,Closed,Investor Relations,PCH-PDP,"Cyclone disruption to Hazira, Paradip refineries"
CR-00062,Physical-Acute,NGFS-DivergentNetZero,Very Long (10-30 yr),Rare,29.11,Vendor diversification programme,Mitigating,Strategy & Planning,RND-BLR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00063,Physical-Acute,NGFS-DivergentNetZero,Very Long (10-30 yr),Likely,4.52,Workforce reskilling programme,Mitigating,Strategy & Planning,HQ,"Cyclone disruption to Hazira, Paradip refineries"
CR-00064,Physical-Acute,NGFS-DivergentNetZero,Very Long (10-30 yr),Likely,5.26,Vendor diversification programme,Open,Group HR,LOG-KND,"Cyclone disruption to Hazira, Paradip refineries"
CR-00065,Physical-Acute,NGFS-DivergentNetZero,Very Long (10-30 yr),Likely,1.64,PPA conversion to renewables,Open,Group HR,FNC-LGL,"Cyclone disruption to Hazira, Paradip refineries"
CR-00066,Physical-Acute,NGFS-DivergentNetZero,Very Long (10-30 yr),Rare,8.97,Workforce reskilling programme,Open,Legal & Compliance,REG-EUR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00067,Physical-Acute,NGFS-DelayedTransition,Short (0-2 yr),Possible,12.8,Workforce reskilling programme,Mitigating,Plant Operations,MKT-OEM,"Cyclone disruption to Hazira, Paradip refineries"
CR-00068,Physical-Acute,NGFS-DelayedTransition,Short (0-2 yr),Almost Certain,1.51,Workforce reskilling programme,Closed,Sustainability — Climate,MKT-DST,"Cyclone disruption to Hazira, Paradip refineries"
CR-00069,Physical-Acute,NGFS-DelayedTransition,Short (0-2 yr),Rare,0.5,Customer transition partnership,Open,Investor Relations,RSK-DAT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00070,Physical-Acute,NGFS-DelayedTransition,Short (0-2 yr),Almost Certain,23.44,Insurance coverage expanded,Mitigating,Procurement,PJT-WHB,"Cyclone disruption to Hazira, Paradip refineries"
CR-00071,Physical-Acute,NGFS-DelayedTransition,Short (0-2 yr),Likely,13.03,PPA conversion to renewables,Closed,Strategy & Planning,REG-EST,"Cyclone disruption to Hazira, Paradip refineries"
CR-00072,Physical-Acute,NGFS-DelayedTransition,Short (0-2 yr),Possible,6.14,Capex earmarked in 5-yr plan,Closed,EHS Director,MKT-B2B,"Cyclone disruption to Hazira, Paradip refineries"
CR-00073,Physical-Acute,NGFS-DelayedTransition,Short (0-2 yr),Rare,0.62,Hedging via carbon market,Open,Legal & Compliance,PCH-HLD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00074,Physical-Acute,NGFS-DelayedTransition,Short (0-2 yr),Rare,11.04,Hedging via carbon market,Closed,Group HR,PCH-NGT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00075,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Likely,0.7,Capex earmarked in 5-yr plan,Mitigating,Strategy & Planning,FW-CDPW,"Cyclone disruption to Hazira, Paradip refineries"
CR-00076,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Likely,6.73,Supplier contract pass-through,Mitigating,Plant Operations,RSK-SUP,"Cyclone disruption to Hazira, Paradip refineries"
CR-00077,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Possible,9.32,PPA conversion to renewables,Mitigating,Investor Relations,PJT-CCS,"Cyclone disruption to Hazira, Paradip refineries"
CR-00078,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Possible,1.77,Capex earmarked in 5-yr plan,Closed,Strategy & Planning,MKT-PSU,"Cyclone disruption to Hazira, Paradip refineries"
CR-00079,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Almost Certain,7.75,Supplier contract pass-through,Closed,Group HR,PJT-WTR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00080,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Likely,8.84,Site-level adaptation plan,Closed,Strategy & Planning,PJT-CIRC,"Cyclone disruption to Hazira, Paradip refineries"
CR-00081,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Almost Certain,3.61,Site-level adaptation plan,Open,Plant Operations,FNC-IT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00082,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Possible,273.41,Site-level adaptation plan,Mitigating,EHS Director,PJT-AUD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00083,Physical-Acute,NGFS-DelayedTransition,Medium (2-5 yr),Possible,8.91,Hedging via carbon market,Open,Legal & Compliance,DST-HYD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00084,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Possible,2.78,Workforce reskilling programme,Open,EHS Director,PCH-PDP,"Cyclone disruption to Hazira, Paradip refineries"
CR-00085,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Likely,2.12,Vendor diversification programme,Mitigating,Sustainability — Climate,FW-TNFD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00086,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Possible,4.82,Vendor diversification programme,Open,CRO Office,BIZ-PLM,"Cyclone disruption to Hazira, Paradip refineries"
CR-00087,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Possible,1.55,Capex earmarked in 5-yr plan,Closed,Strategy & Planning,DST-IND,"Cyclone disruption to Hazira, Paradip refineries"
CR-00088,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Rare,4.99,Customer transition partnership,Mitigating,Plant Operations,FW-CDPW,"Cyclone disruption to Hazira, Paradip refineries"
CR-00089,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Possible,5.08,Engineering controls — process,Mitigating,Plant Operations,BIZ-AGR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00090,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Likely,16.85,Workforce reskilling programme,Closed,CRO Office,PCH-HLD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00091,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Likely,0.5,Capex earmarked in 5-yr plan,Mitigating,Treasury,RSK-WTR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00092,Physical-Acute,NGFS-DelayedTransition,Long (5-10 yr),Rare,4.16,Supplier contract pass-through,Mitigating,Investor Relations,REG-AMR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00093,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Possible,36.37,Insurance coverage expanded,Mitigating,Investor Relations,LOG-NSK,"Cyclone disruption to Hazira, Paradip refineries"
CR-00094,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,2.01,Insurance coverage expanded,Mitigating,CRO Office,PJT-AUD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00095,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,8.07,Workforce reskilling programme,Closed,Group HR,PCH-JMG,"Cyclone disruption to Hazira, Paradip refineries"
CR-00096,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,2.61,Insurance coverage expanded,Closed,Procurement,HQ,"Cyclone disruption to Hazira, Paradip refineries"
CR-00097,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,3.19,Insurance coverage expanded,Mitigating,EHS Director,FW-SBTI,"Cyclone disruption to Hazira, Paradip refineries"
CR-00098,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,2.44,Insurance coverage expanded,Mitigating,CRO Office,PJT-CIRC,"Cyclone disruption to Hazira, Paradip refineries"
CR-00099,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Rare,9.21,Capex earmarked in 5-yr plan,Mitigating,Treasury,PJT-DAT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00100,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Rare,134.41,Capex earmarked in 5-yr plan,Mitigating,CRO Office,BIZ-LUB,"Cyclone disruption to Hazira, Paradip refineries"
CR-00101,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,2.75,Site-level adaptation plan,Mitigating,Legal & Compliance,BIZ-FUE,"Cyclone disruption to Hazira, Paradip refineries"
CR-00102,Physical-Acute,NGFS-DelayedTransition,Very Long (10-30 yr),Likely,1.61,Capex earmarked in 5-yr plan,Mitigating,Plant Operations,FW-SASB,"Cyclone disruption to Hazira, Paradip refineries"
CR-00103,Physical-Acute,IEA-NZE2050,Short (0-2 yr),Likely,13.26,Hedging via carbon market,Closed,Strategy & Planning,OFC-KCH,"Cyclone disruption to Hazira, Paradip refineries"
CR-00104,Physical-Acute,IEA-NZE2050,Short (0-2 yr),Almost Certain,9.15,Vendor diversification programme,Mitigating,Strategy & Planning,REG-EST,"Cyclone disruption to Hazira, Paradip refineries"
CR-00105,Physical-Acute,IEA-NZE2050,Short (0-2 yr),Rare,8.83,Site-level adaptation plan,Mitigating,Legal & Compliance,OFC-CHN,"Cyclone disruption to Hazira, Paradip refineries"
CR-00106,Physical-Acute,IEA-NZE2050,Short (0-2 yr),Almost Certain,3.5,Vendor diversification programme,Mitigating,Procurement,RSK-BIO,"Cyclone disruption to Hazira, Paradip refineries"
CR-00107,Physical-Acute,IEA-NZE2050,Short (0-2 yr),Rare,3.47,Customer transition partnership,Open,Investor Relations,REF-HZR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00108,Physical-Acute,IEA-NZE2050,Short (0-2 yr),Likely,0.91,Site-level adaptation plan,Mitigating,EHS Director,RSK-LIT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00109,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Rare,11.77,Insurance coverage expanded,Mitigating,CRO Office,PJT-WHB,"Cyclone disruption to Hazira, Paradip refineries"
CR-00110,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Possible,2.73,Hedging via carbon market,Mitigating,Legal & Compliance,LOG-NSK,"Cyclone disruption to Hazira, Paradip refineries"
CR-00111,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Possible,1.21,Capex earmarked in 5-yr plan,Closed,Sustainability — Climate,PJT-CCS,"Cyclone disruption to Hazira, Paradip refineries"
CR-00112,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Possible,89.68,Vendor diversification programme,Open,Plant Operations,FW-CSRD,"Cyclone disruption to Hazira, Paradip refineries"
CR-00113,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Rare,2.12,Workforce reskilling programme,Open,CRO Office,LOG-KND,"Cyclone disruption to Hazira, Paradip refineries"
CR-00114,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Possible,5.46,Site-level adaptation plan,Mitigating,Treasury,PJT-SAF,"Cyclone disruption to Hazira, Paradip refineries"
CR-00115,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Likely,70.12,Supplier contract pass-through,Mitigating,CRO Office,FNC-LGL,"Cyclone disruption to Hazira, Paradip refineries"
CR-00116,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Likely,8.33,PPA conversion to renewables,Mitigating,Investor Relations,LOG-VSP,"Cyclone disruption to Hazira, Paradip refineries"
CR-00117,Physical-Acute,IEA-NZE2050,Medium (2-5 yr),Likely,28.24,Workforce reskilling programme,Open,Investor Relations,PCH-NGT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00118,Physical-Acute,IEA-NZE2050,Long (5-10 yr),Likely,5.75,Hedging via carbon market,Mitigating,Treasury,FNC-HRM,"Cyclone disruption to Hazira, Paradip refineries"
CR-00119,Physical-Acute,IEA-NZE2050,Long (5-10 yr),Likely,17.89,Insurance coverage expanded,Mitigating,Investor Relations,RND-BLR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00120,Physical-Acute,IEA-NZE2050,Long (5-10 yr),Likely,1.8,Engineering controls — process,Mitigating,Treasury,REG-EUR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00121,Physical-Acute,IEA-NZE2050,Long (5-10 yr),Likely,0.98,Engineering controls — process,Mitigating,Treasury,PJT-COC,"Cyclone disruption to Hazira, Paradip refineries"
CR-00122,Physical-Acute,IEA-NZE2050,Long (5-10 yr),Rare,4.28,PPA conversion to renewables,Closed,Strategy & Planning,RSK-REP,"Cyclone disruption to Hazira, Paradip refineries"
CR-00123,Physical-Acute,IEA-NZE2050,Long (5-10 yr),Likely,20.16,Site-level adaptation plan,Mitigating,Strategy & Planning,DST-LKO,"Cyclone disruption to Hazira, Paradip refineries"
CR-00124,Physical-Acute,IEA-NZE2050,Long (5-10 yr),Almost Certain,1.39,Engineering controls — process,Mitigating,Group HR,FW-IFRS,"Cyclone disruption to Hazira, Paradip refineries"
CR-00125,Physical-Acute,IEA-NZE2050,Long (5-10 yr),Possible,12.01,PPA conversion to renewables,Mitigating,Procurement,LOG-KND,"Cyclone disruption to Hazira, Paradip refineries"
CR-00126,Physical-Acute,IEA-NZE2050,Very Long (10-30 yr),Possible,1.12,Vendor diversification programme,Mitigating,Plant Operations,MKT-DST,"Cyclone disruption to Hazira, Paradip refineries"
CR-00127,Physical-Acute,IEA-NZE2050,Very Long (10-30 yr),Almost Certain,15.72,Site-level adaptation plan,Mitigating,Group HR,MKT-B2B,"Cyclone disruption to Hazira, Paradip refineries"
CR-00128,Physical-Acute,IEA-NZE2050,Very Long (10-30 yr),Likely,10.79,Hedging via carbon market,Mitigating,Investor Relations,FW-SBTI,"Cyclone disruption to Hazira, Paradip refineries"
CR-00129,Physical-Acute,IEA-NZE2050,Very Long (10-30 yr),Possible,3.75,Workforce reskilling programme,Mitigating,Treasury,FW-GRI,"Cyclone disruption to Hazira, Paradip refineries"
CR-00130,Physical-Acute,IEA-NZE2050,Very Long (10-30 yr),Possible,65.89,PPA conversion to renewables,Mitigating,Plant Operations,DST-KOL,"Cyclone disruption to Hazira, Paradip refineries"
CR-00131,Physical-Acute,IEA-NZE2050,Very Long (10-30 yr),Rare,3.97,Customer transition partnership,Closed,Treasury,REG-INT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00132,Physical-Acute,IEA-APS,Short (0-2 yr),Almost Certain,6.41,Vendor diversification programme,Mitigating,EHS Director,OFC-BBS,"Cyclone disruption to Hazira, Paradip refineries"
CR-00133,Physical-Acute,IEA-APS,Short (0-2 yr),Likely,75.93,PPA conversion to renewables,Mitigating,Investor Relations,REF-HZR,"Cyclone disruption to Hazira, Paradip refineries"
CR-00134,Physical-Acute,IEA-APS,Short (0-2 yr),Possible,2.09,Customer transition partnership,Mitigating,EHS Director,PJT-EVS,"Cyclone disruption to Hazira, Paradip refineries"
CR-00135,Physical-Acute,IEA-APS,Short (0-2 yr),Rare,12.95,Capex earmarked in 5-yr plan,Mitigating,Treasury,RSK-CYB,"Cyclone disruption to Hazira, Paradip refineries"
CR-00136,Physical-Acute,IEA-APS,Short (0-2 yr),Almost Certain,22.11,Insurance coverage expanded,Open,CRO Office,MKT-B2B,"Cyclone disruption to Hazira, Paradip refineries"
CR-00137,Physical-Acute,IEA-APS,Medium (2-5 yr),Almost Certain,7.44,Workforce reskilling programme,Mitigating,Treasury,PJT-NETZ,"Cyclone disruption to Hazira, Paradip refineries"
CR-00138,Physical-Acute,IEA-APS,Medium (2-5 yr),Likely,5.39,Hedging via carbon market,Mitigating,EHS Director,PCH-DHJ,"Cyclone disruption to Hazira, Paradip refineries"
CR-00139,Physical-Acute,IEA-APS,Medium (2-5 yr),Likely,1.2,Hedging via carbon market,Mitigating,Sustainability — Climate,FW-TNFD,"Cyclone disruption to Hazira, Paradip refineries"
