control_id,process,esg_metric_linked,control_owner,test_date,deficiency_flag,remediation_status,sox_section,control_type,frequency,tester,evidence_doc_id,control_objective,business_unit,grc_tool
ICFR-F-00024,Revenue Recognition,,HR Operations,2022-09-27,None,Not Applicable,302,Corrective,Weekly,Self-test (Process Owner),AUD-FY22-Q2-000024,Ensure proper cut-off of period-end transactions,BIZ-SPC,Workiva
ICFR-F-00025,Revenue Recognition,,HR Operations,2022-12-15,None,Not Applicable,302,Corrective,Weekly,Independent — Deloitte,AUD-FY22-Q3-000025,Ensure completeness of recorded transactions in the period,MKT-DTC,AuditBoard
ICFR-F-00026,Revenue Recognition,,HR Operations,2023-03-27,Deficiency,Open,302,Corrective,Weekly,Internal Audit (co-source — EY),AUD-FY22-Q4-000026,Ensure rights & obligations are properly recognised,PJT-DIG,OneTrust
ICFR-F-00027,Revenue Recognition,,HR Operations,2023-06-07,None,Not Applicable,302,Corrective,Weekly,Independent — Deloitte,AUD-FY23-Q1-000027,Ensure rights & obligations are properly recognised,OFC-DLH,ServiceNow GRC
ICFR-F-00028,Revenue Recognition,,HR Operations,2023-09-05,None,Not Applicable,302,Corrective,Weekly,Internal Audit (co-source — KPMG),AUD-FY23-Q2-000028,Ensure timely and accurate climate disclosure filing,PJT-CYB,AuditBoard
ICFR-F-00029,Revenue Recognition,,HR Operations,2023-12-27,None,Not Applicable,302,Corrective,Weekly,Internal Audit (co-source — KPMG),AUD-FY23-Q3-000029,Ensure timely and accurate climate disclosure filing,OFC-CMB,AuditBoard
ICFR-F-00030,Revenue Recognition,,HR Operations,2024-03-05,None,Not Applicable,302,Corrective,Weekly,Internal Audit (in-house),AUD-FY23-Q4-000030,Ensure rights & obligations are properly recognised,BIZ-HYD,OneTrust
ICFR-F-00031,Revenue Recognition,,HR Operations,2024-06-15,None,Not Applicable,302,Corrective,Weekly,Independent — Deloitte,AUD-FY24-Q1-000031,Ensure timely and accurate climate disclosure filing,FW-SBTI,OneTrust
ICFR-F-00032,Revenue Recognition,,HR Operations,2024-09-11,Material,In Progress,302,Corrective,Weekly,Internal Audit (co-source — KPMG),AUD-FY24-Q2-000032,Ensure proper authorisation of journal entries and adjustments,RND-PUN,ServiceNow GRC
ICFR-F-00033,Revenue Recognition,,HR Operations,2024-12-19,None,Not Applicable,302,Corrective,Weekly,Internal Audit (co-source — KPMG),AUD-FY24-Q3-000033,Ensure proper authorisation of journal entries and adjustments,PJT-WTR,OneTrust
ICFR-F-00034,Revenue Recognition,,HR Operations,2025-03-07,None,Not Applicable,302,Corrective,Weekly,Internal Audit (co-source — EY),AUD-FY24-Q4-000034,Ensure rights & obligations are properly recognised,PJT-WTR,MetricStream
ICFR-F-00035,Revenue Recognition,,HR Operations,2025-06-11,Deficiency,In Progress,302,Corrective,Weekly,Independent — Deloitte,AUD-FY25-Q1-000035,Ensure accuracy of recorded amounts and disclosures,RND-SRT,ServiceNow GRC
ICFR-F-00036,Revenue Recognition,,HR Operations,2025-09-19,None,Not Applicable,302,Corrective,Weekly,Internal Audit (in-house),AUD-FY25-Q2-000036,Ensure proper cut-off of period-end transactions,RND-BLR,AuditBoard
ICFR-F-00037,Revenue Recognition,,Tax,2021-06-07,Deficiency,Open,302,Detective,Annual,Independent — Deloitte,AUD-FY21-Q1-000037,Ensure proper authorisation of journal entries and adjustments,PJT-DEI,MetricStream
ICFR-F-00038,Revenue Recognition,,Tax,2021-09-28,None,Not Applicable,302,Detective,Annual,Self-test (Process Owner),AUD-FY21-Q2-000038,Ensure accuracy of recorded amounts and disclosures,MKT-EXP,MetricStream
ICFR-F-00039,Revenue Recognition,,Tax,2021-12-14,Deficiency,Tested — Passed,302,Detective,Annual,Independent — PwC,AUD-FY21-Q3-000039,Ensure proper classification in financial statements,REF-HZR,ServiceNow GRC
ICFR-F-00040,Revenue Recognition,,Tax,2022-03-16,None,Not Applicable,302,Detective,Annual,Independent — Deloitte,AUD-FY21-Q4-000040,Ensure timely and accurate climate disclosure filing,FNC-COM,Workiva
ICFR-F-00041,Revenue Recognition,,Tax,2022-06-26,Significant,Re-test Required,302,Detective,Annual,Independent — Deloitte,AUD-FY22-Q1-000041,Ensure completeness of recorded transactions in the period,PJT-WHB,ServiceNow GRC
ICFR-F-00042,Revenue Recognition,,Tax,2022-09-21,None,Not Applicable,302,Detective,Annual,Internal Audit (co-source — KPMG),AUD-FY22-Q2-000042,Ensure proper classification in financial statements,BIZ-HYD,AuditBoard
ICFR-F-00043,Revenue Recognition,,Tax,2022-12-19,None,Not Applicable,302,Detective,Annual,Self-test (Process Owner),AUD-FY22-Q3-000043,Ensure completeness of recorded transactions in the period,REG-WST,AuditBoard
ICFR-F-00044,Revenue Recognition,,Tax,2023-03-17,None,Not Applicable,302,Detective,Annual,Internal Audit (in-house),AUD-FY22-Q4-000044,Ensure rights & obligations are properly recognised,RND-HYD,Workiva
ICFR-F-00045,Revenue Recognition,,Tax,2023-06-19,None,Not Applicable,302,Detective,Annual,Internal Audit (in-house),AUD-FY23-Q1-000045,Ensure existence of underlying assets and obligations,PCH-GDR,OneTrust
ICFR-F-00046,Revenue Recognition,,Tax,2023-09-27,None,Not Applicable,302,Detective,Annual,Independent — PwC,AUD-FY23-Q2-000046,Ensure rights & obligations are properly recognised,FW-IFRS,MetricStream
ICFR-F-00047,Revenue Recognition,,Tax,2023-12-14,Deficiency,Tested — Passed,302,Detective,Annual,Self-test (Process Owner),AUD-FY23-Q3-000047,Ensure proper classification in financial statements,REG-EUR,Workiva
ICFR-F-00048,Revenue Recognition,,Tax,2024-03-11,None,Not Applicable,302,Detective,Annual,Internal Audit (co-source — KPMG),AUD-FY23-Q4-000048,Ensure ESG metric calculation conforms to GHG Protocol,PJT-AUD,ServiceNow GRC
ICFR-F-00049,Revenue Recognition,,Tax,2024-06-28,None,Not Applicable,302,Detective,Annual,Internal Audit (co-source — EY),AUD-FY24-Q1-000049,Ensure ESG metric calculation conforms to GHG Protocol,FNC-PRC,AuditBoard
ICFR-F-00050,Revenue Recognition,,Tax,2024-09-16,None,Not Applicable,302,Detective,Annual,Internal Audit (in-house),AUD-FY24-Q2-000050,Ensure completeness of recorded transactions in the period,PJT-CCS,Workiva
ICFR-F-00051,Revenue Recognition,,Tax,2024-12-21,None,Not Applicable,302,Detective,Annual,Independent — Deloitte,AUD-FY24-Q3-000051,Ensure proper classification in financial statements,OFC-BBS,MetricStream
ICFR-F-00052,Revenue Recognition,,Tax,2025-03-11,Material,Re-test Required,302,Detective,Annual,Self-test (Process Owner),AUD-FY24-Q4-000052,Ensure proper authorisation of journal entries and adjustments,RSK-DAT,AuditBoard
ICFR-F-00053,Revenue Recognition,,Tax,2025-06-24,Significant,Re-test Required,302,Detective,Annual,Internal Audit (co-source — KPMG),AUD-FY25-Q1-000053,Ensure ESG data lineage and source traceability,PJT-HRT,OneTrust
ICFR-F-00054,Revenue Recognition,,Tax,2025-09-14,None,Not Applicable,302,Detective,Annual,Independent — PwC,AUD-FY25-Q2-000054,Ensure rights & obligations are properly recognised,RSK-REG,MetricStream
ICFR-F-00055,Revenue Recognition,,Tax,2021-06-13,Significant,Re-test Required,302,Detective,Monthly,Self-test (Process Owner),AUD-FY21-Q1-000055,Ensure existence of underlying assets and obligations,FNC-PRC,Workiva
ICFR-F-00056,Revenue Recognition,,Tax,2021-09-09,Deficiency,Open,302,Detective,Monthly,Internal Audit (in-house),AUD-FY21-Q2-000056,Ensure completeness of recorded transactions in the period,RSK-BIO,OneTrust
ICFR-F-00057,Revenue Recognition,,Tax,2021-12-18,Material,Open,302,Detective,Monthly,Internal Audit (in-house),AUD-FY21-Q3-000057,Ensure proper cut-off of period-end transactions,DST-HYD,Workiva
ICFR-F-00058,Revenue Recognition,,Tax,2022-03-23,Material,Open,302,Detective,Monthly,Self-test (Process Owner),AUD-FY21-Q4-000058,Ensure ESG data lineage and source traceability,FW-SBTI,ServiceNow GRC
ICFR-F-00059,Revenue Recognition,,Tax,2022-06-15,None,Not Applicable,302,Detective,Monthly,Internal Audit (in-house),AUD-FY22-Q1-000059,Ensure timely and accurate climate disclosure filing,MKT-SMB,Workiva
ICFR-F-00060,Revenue Recognition,,Tax,2022-09-09,Significant,Tested — Failed,302,Detective,Monthly,Internal Audit (in-house),AUD-FY22-Q2-000060,Ensure timely and accurate climate disclosure filing,DST-KOL,Workiva
ICFR-F-00061,Revenue Recognition,,Tax,2022-12-27,None,Not Applicable,302,Detective,Monthly,Internal Audit (co-source — EY),AUD-FY22-Q3-000061,Ensure ESG metric calculation conforms to GHG Protocol,PCH-GDR,ServiceNow GRC
ICFR-F-00062,Revenue Recognition,,Tax,2023-03-26,None,Not Applicable,302,Detective,Monthly,Internal Audit (co-source — KPMG),AUD-FY22-Q4-000062,Ensure proper authorisation of journal entries and adjustments,PJT-WHB,AuditBoard
ICFR-F-00063,Revenue Recognition,,Tax,2023-06-28,Deficiency,Tested — Passed,302,Detective,Monthly,Independent — PwC,AUD-FY23-Q1-000063,Ensure rights & obligations are properly recognised,PJT-WHB,MetricStream
ICFR-F-00064,Revenue Recognition,,Tax,2023-09-25,None,Not Applicable,302,Detective,Monthly,Internal Audit (co-source — EY),AUD-FY23-Q2-000064,Ensure accuracy of recorded amounts and disclosures,PJT-RNW,AuditBoard
ICFR-F-00065,Revenue Recognition,,Tax,2023-12-26,None,Not Applicable,302,Detective,Monthly,Self-test (Process Owner),AUD-FY23-Q3-000065,Ensure proper classification in financial statements,PJT-BIO,MetricStream
ICFR-F-00066,Revenue Recognition,,Tax,2024-03-28,Deficiency,Closed,302,Detective,Monthly,Internal Audit (co-source — EY),AUD-FY23-Q4-000066,Ensure ESG data lineage and source traceability,RSK-REP,ServiceNow GRC
ICFR-F-00067,Revenue Recognition,,Tax,2024-06-25,Deficiency,In Progress,302,Detective,Monthly,Internal Audit (co-source — KPMG),AUD-FY24-Q1-000067,Ensure proper authorisation of journal entries and adjustments,FW-BRSR,OneTrust
ICFR-F-00068,Revenue Recognition,,Tax,2024-09-24,None,Not Applicable,302,Detective,Monthly,Internal Audit (co-source — KPMG),AUD-FY24-Q2-000068,Ensure timely and accurate climate disclosure filing,PJT-EVS,AuditBoard
ICFR-F-00069,Revenue Recognition,,Tax,2024-12-10,None,Not Applicable,302,Detective,Monthly,Internal Audit (in-house),AUD-FY24-Q3-000069,Ensure proper classification in financial statements,PJT-LIV,AuditBoard
ICFR-F-00070,Revenue Recognition,,Tax,2025-03-12,None,Not Applicable,302,Detective,Monthly,Self-test (Process Owner),AUD-FY24-Q4-000070,Ensure timely and accurate climate disclosure filing,PCH-NGT,OneTrust
ICFR-F-00071,Revenue Recognition,,Tax,2025-06-12,Deficiency,Open,302,Detective,Monthly,Independent — PwC,AUD-FY25-Q1-000071,Ensure proper cut-off of period-end transactions,HQ,OneTrust
ICFR-F-00072,Revenue Recognition,,Tax,2025-09-09,Deficiency,In Progress,302,Detective,Monthly,Internal Audit (co-source — EY),AUD-FY25-Q2-000072,Ensure rights & obligations are properly recognised,PJT-AUD,AuditBoard
ICFR-F-00073,Revenue Recognition,,ESG Reporting,2021-06-21,Significant,Closed,302,Corrective,Monthly,Independent — Deloitte,AUD-FY21-Q1-000073,Ensure proper classification in financial statements,FW-TCFD,AuditBoard
ICFR-F-00074,Revenue Recognition,,ESG Reporting,2021-09-12,None,Not Applicable,302,Corrective,Monthly,Independent — PwC,AUD-FY21-Q2-000074,Ensure ESG metric calculation conforms to GHG Protocol,OFC-CHN,ServiceNow GRC
ICFR-F-00075,Revenue Recognition,,ESG Reporting,2021-12-11,None,Not Applicable,302,Corrective,Monthly,Internal Audit (co-source — KPMG),AUD-FY21-Q3-000075,Ensure timely and accurate climate disclosure filing,FW-GRI,OneTrust
ICFR-F-00076,Revenue Recognition,,ESG Reporting,2022-03-24,Deficiency,Closed,302,Corrective,Monthly,Internal Audit (co-source — EY),AUD-FY21-Q4-000076,Ensure existence of underlying assets and obligations,PJT-TAX,Workiva
ICFR-F-00077,Revenue Recognition,,ESG Reporting,2022-06-08,Deficiency,Tested — Passed,302,Corrective,Monthly,Internal Audit (co-source — KPMG),AUD-FY22-Q1-000077,Ensure existence of underlying assets and obligations,MKT-DTC,ServiceNow GRC
ICFR-F-00078,Revenue Recognition,,ESG Reporting,2022-09-28,Material,Re-test Required,302,Corrective,Monthly,Independent — Deloitte,AUD-FY22-Q2-000078,Ensure existence of underlying assets and obligations,REG-EST,MetricStream
ICFR-F-00079,Revenue Recognition,,ESG Reporting,2022-12-27,None,Not Applicable,302,Corrective,Monthly,Independent — Deloitte,AUD-FY22-Q3-000079,Ensure ESG data lineage and source traceability,DST-LKO,MetricStream
ICFR-F-00080,Revenue Recognition,,ESG Reporting,2023-03-21,Deficiency,Tested — Passed,302,Corrective,Monthly,Independent — Deloitte,AUD-FY22-Q4-000080,Ensure proper classification in financial statements,PJT-DEI,AuditBoard
ICFR-F-00081,Revenue Recognition,,ESG Reporting,2023-06-05,None,Not Applicable,302,Corrective,Monthly,Self-test (Process Owner),AUD-FY23-Q1-000081,Ensure timely and accurate climate disclosure filing,FNC-COM,AuditBoard
ICFR-F-00082,Revenue Recognition,,ESG Reporting,2023-09-17,None,Not Applicable,302,Corrective,Monthly,Self-test (Process Owner),AUD-FY23-Q2-000082,Ensure proper classification in financial statements,PJT-CIRC,ServiceNow GRC
ICFR-F-00083,Revenue Recognition,,ESG Reporting,2023-12-26,Significant,Tested — Failed,302,Corrective,Monthly,Internal Audit (in-house),AUD-FY23-Q3-000083,Ensure ESG metric calculation conforms to GHG Protocol,FNC-IT,OneTrust
ICFR-F-00084,Revenue Recognition,,ESG Reporting,2024-03-23,Material,Open,302,Corrective,Monthly,Independent — PwC,AUD-FY23-Q4-000084,Ensure proper authorisation of journal entries and adjustments,PJT-DIG,OneTrust
ICFR-F-00085,Revenue Recognition,,ESG Reporting,2024-06-23,None,Not Applicable,302,Corrective,Monthly,Self-test (Process Owner),AUD-FY24-Q1-000085,Ensure completeness of recorded transactions in the period,FW-IFRS,OneTrust
ICFR-F-00086,Revenue Recognition,,ESG Reporting,2024-09-20,Deficiency,In Progress,302,Corrective,Monthly,Internal Audit (co-source — KPMG),AUD-FY24-Q2-000086,Ensure rights & obligations are properly recognised,MKT-DTC,AuditBoard
ICFR-F-00087,Revenue Recognition,,ESG Reporting,2024-12-19,None,Not Applicable,302,Corrective,Monthly,Internal Audit (co-source — EY),AUD-FY24-Q3-000087,Ensure existence of underlying assets and obligations,FW-GRI,ServiceNow GRC
ICFR-F-00088,Revenue Recognition,,ESG Reporting,2025-03-18,None,Not Applicable,302,Corrective,Monthly,Internal Audit (in-house),AUD-FY24-Q4-000088,Ensure proper authorisation of journal entries and adjustments,RSK-LIT,MetricStream
ICFR-F-00089,Revenue Recognition,,ESG Reporting,2025-06-11,None,Not Applicable,302,Corrective,Monthly,Internal Audit (in-house),AUD-FY25-Q1-000089,Ensure timely and accurate climate disclosure filing,OFC-BBS,MetricStream
ICFR-F-00090,Revenue Recognition,,ESG Reporting,2025-09-28,None,Not Applicable,302,Corrective,Monthly,Internal Audit (in-house),AUD-FY25-Q2-000090,Ensure proper authorisation of journal entries and adjustments,MKT-B2B,OneTrust
ICFR-F-00091,Revenue Recognition,,Internal Audit,2021-06-25,Deficiency,Closed,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY21-Q1-000091,Ensure existence of underlying assets and obligations,PCH-PDP,ServiceNow GRC
ICFR-F-00092,Revenue Recognition,,Internal Audit,2021-09-22,Significant,In Progress,302,Corrective,Annual,Independent — Deloitte,AUD-FY21-Q2-000092,Ensure proper classification in financial statements,MKT-SMB,ServiceNow GRC
ICFR-F-00093,Revenue Recognition,,Internal Audit,2021-12-25,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY21-Q3-000093,Ensure timely and accurate climate disclosure filing,BIZ-LUB,OneTrust
ICFR-F-00094,Revenue Recognition,,Internal Audit,2022-03-14,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — EY),AUD-FY21-Q4-000094,Ensure completeness of recorded transactions in the period,PCH-JMG,ServiceNow GRC
ICFR-F-00095,Revenue Recognition,,Internal Audit,2022-06-26,Deficiency,Open,302,Corrective,Annual,Internal Audit (co-source — EY),AUD-FY22-Q1-000095,Ensure accuracy of recorded amounts and disclosures,FNC-COM,AuditBoard
ICFR-F-00096,Revenue Recognition,,Internal Audit,2022-09-20,Significant,Tested — Failed,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY22-Q2-000096,Ensure ESG data lineage and source traceability,OFC-AMD,OneTrust
ICFR-F-00097,Revenue Recognition,,Internal Audit,2022-12-20,Deficiency,Open,302,Corrective,Annual,Internal Audit (co-source — EY),AUD-FY22-Q3-000097,Ensure ESG data lineage and source traceability,PJT-SAF,AuditBoard
ICFR-F-00098,Revenue Recognition,,Internal Audit,2023-03-08,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY22-Q4-000098,Ensure proper authorisation of journal entries and adjustments,MKT-SMB,Workiva
ICFR-F-00099,Revenue Recognition,,Internal Audit,2023-06-22,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY23-Q1-000099,Ensure proper authorisation of journal entries and adjustments,FW-IFRS,ServiceNow GRC
ICFR-F-00100,Revenue Recognition,,Internal Audit,2023-09-25,Deficiency,Tested — Passed,302,Corrective,Annual,Internal Audit (in-house),AUD-FY23-Q2-000100,Ensure proper classification in financial statements,FW-CDP,AuditBoard
ICFR-F-00101,Revenue Recognition,,Internal Audit,2023-12-10,None,Not Applicable,302,Corrective,Annual,Internal Audit (in-house),AUD-FY23-Q3-000101,Ensure ESG metric calculation conforms to GHG Protocol,REF-HZR,MetricStream
ICFR-F-00102,Revenue Recognition,,Internal Audit,2024-03-11,Material,Re-test Required,302,Corrective,Annual,Internal Audit (in-house),AUD-FY23-Q4-000102,Ensure ESG metric calculation conforms to GHG Protocol,FNC-IT,OneTrust
ICFR-F-00103,Revenue Recognition,,Internal Audit,2024-06-23,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY24-Q1-000103,Ensure completeness of recorded transactions in the period,OFC-CMB,Workiva
ICFR-F-00104,Revenue Recognition,,Internal Audit,2024-09-14,Deficiency,In Progress,302,Corrective,Annual,Independent — Deloitte,AUD-FY24-Q2-000104,Ensure existence of underlying assets and obligations,OFC-CHN,ServiceNow GRC
ICFR-F-00105,Revenue Recognition,,Internal Audit,2024-12-17,None,Not Applicable,302,Corrective,Annual,Independent — PwC,AUD-FY24-Q3-000105,Ensure proper classification in financial statements,MKT-B2C,Workiva
ICFR-F-00106,Revenue Recognition,,Internal Audit,2025-03-19,None,Not Applicable,302,Corrective,Annual,Independent — Deloitte,AUD-FY24-Q4-000106,Ensure ESG data lineage and source traceability,HQ,Workiva
ICFR-F-00107,Revenue Recognition,,Internal Audit,2025-06-09,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — EY),AUD-FY25-Q1-000107,Ensure accuracy of recorded amounts and disclosures,REG-STH,ServiceNow GRC
ICFR-F-00108,Revenue Recognition,,Internal Audit,2025-09-09,Deficiency,Closed,302,Corrective,Annual,Internal Audit (in-house),AUD-FY25-Q2-000108,Ensure ESG metric calculation conforms to GHG Protocol,PJT-WTR,ServiceNow GRC
ICFR-F-00109,Procure-to-Pay,,EHS,2021-06-22,None,Not Applicable,404,Corrective,Quarterly,Self-test (Process Owner),AUD-FY21-Q1-000109,Ensure proper authorisation of journal entries and adjustments,RSK-REP,MetricStream
ICFR-F-00110,Procure-to-Pay,,EHS,2021-09-19,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (in-house),AUD-FY21-Q2-000110,Ensure timely and accurate climate disclosure filing,RSK-CYB,ServiceNow GRC
ICFR-F-00111,Procure-to-Pay,,EHS,2021-12-20,None,Not Applicable,404,Corrective,Quarterly,Independent — PwC,AUD-FY21-Q3-000111,Ensure rights & obligations are properly recognised,PJT-CCS,ServiceNow GRC
ICFR-F-00112,Procure-to-Pay,,EHS,2022-03-06,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (in-house),AUD-FY21-Q4-000112,Ensure proper classification in financial statements,REG-WST,OneTrust
ICFR-F-00113,Procure-to-Pay,,EHS,2022-06-06,None,Not Applicable,404,Corrective,Quarterly,Independent — Deloitte,AUD-FY22-Q1-000113,Ensure proper cut-off of period-end transactions,OFC-CHN,ServiceNow GRC
ICFR-F-00114,Procure-to-Pay,,EHS,2022-09-25,None,Not Applicable,404,Corrective,Quarterly,Independent — PwC,AUD-FY22-Q2-000114,Ensure accuracy of recorded amounts and disclosures,MKT-DST,Workiva
ICFR-F-00115,Procure-to-Pay,,EHS,2022-12-16,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (in-house),AUD-FY22-Q3-000115,Ensure proper classification in financial statements,REG-INT,Workiva
ICFR-F-00116,Procure-to-Pay,,EHS,2023-03-28,None,Not Applicable,404,Corrective,Quarterly,Internal Audit (co-source — EY),AUD-FY22-Q4-000116,Ensure proper cut-off of period-end transactions,REG-INT,OneTrust
ICFR-F-00117,Procure-to-Pay,,EHS,2023-06-07,None,Not Applicable,404,Corrective,Quarterly,Independent — Deloitte,AUD-FY23-Q1-000117,Ensure proper classification in financial statements,OFC-BBS,ServiceNow GRC
ICFR-F-00118,Procure-to-Pay,,EHS,2023-09-12,Deficiency,In Progress,404,Corrective,Quarterly,Independent — PwC,AUD-FY23-Q2-000118,Ensure proper authorisation of journal entries and adjustments,BIZ-SPC,AuditBoard
ICFR-F-00119,Procure-to-Pay,,EHS,2023-12-09,None,Not Applicable,404,Corrective,Quarterly,Independent — PwC,AUD-FY23-Q3-000119,Ensure accuracy of recorded amounts and disclosures,LOG-VSP,OneTrust
ICFR-F-00120,Procure-to-Pay,,EHS,2024-03-13,None,Not Applicable,404,Corrective,Quarterly,Self-test (Process Owner),AUD-FY23-Q4-000120,Ensure proper cut-off of period-end transactions,MKT-DTC,ServiceNow GRC
ICFR-F-00121,Procure-to-Pay,,EHS,2024-06-12,Deficiency,Closed,404,Corrective,Quarterly,Independent — Deloitte,AUD-FY24-Q1-000121,Ensure existence of underlying assets and obligations,PJT-EVS,ServiceNow GRC
ICFR-F-00122,Procure-to-Pay,,EHS,2024-09-26,None,Not Applicable,404,Corrective,Quarterly,Independent — PwC,AUD-FY24-Q2-000122,Ensure proper classification in financial statements,PJT-CIRC,Workiva
