year,quarter,energy_source,consumption_mwh,cost_inr_lakhs,location,renewable,facility_type,tariff_inr_per_kwh,contract_id,supplier,peak_demand_kw,load_factor_pct,meter_id
2017,Q1,Green Hydrogen Pilot,512.793,96.98,Hazira Refinery,Yes,Refinery,18.0,L&T-2017-5928,L&T Hydrogen Pilot,470.0,63.9,MTR-472403
2017,Q1,Grid Electricity,17927.99,1376.48,Jamnagar Polymer Plant,No,Petchem,7.2,DIS-2017-9834,DISCOM HT-Cat-A,13142.2,84.8,MTR-420008
2017,Q1,Diesel Generators,1962.417,181.87,Jamnagar Polymer Plant,No,Petchem,9.5,ON--2017-4102,On-site fuel,2294.1,79.4,MTR-378349
2017,Q1,Natural Gas,6788.26,399.05,Jamnagar Polymer Plant,No,Petchem,5.8,GAI-2017-6281,GAIL APM,5481.0,70.0,MTR-745278
2017,Q1,Coal,2265.143,101.94,Jamnagar Polymer Plant,No,Petchem,4.2,COA-2017-4240,Coal India e-auction,2458.5,57.9,MTR-703425
2017,Q1,Furnace Oil,1437.129,92.42,Jamnagar Polymer Plant,No,Petchem,6.1,IOC-2017-5602,IOCL bulk supply,1134.8,51.0,MTR-906614
2017,Q1,Solar (rooftop+OPEN),5018.81,209.95,Jamnagar Polymer Plant,Yes,Petchem,3.9,TAT-2017-8448,Tata Power Solar PPA,4571.0,48.1,MTR-998881
2017,Q1,Wind PPA,2024.341,84.86,Jamnagar Polymer Plant,Yes,Petchem,4.4,REN-2017-3458,ReNew Power PPA-2031,1550.0,76.9,MTR-562243
2017,Q1,Biomass,1184.11,64.43,Jamnagar Polymer Plant,Yes,Petchem,5.5,PEL-2017-7534,Pellet Plant — local,1037.9,75.3,MTR-152321
2017,Q1,Green Hydrogen Pilot,382.191,73.04,Jamnagar Polymer Plant,Yes,Petchem,18.0,L&T-2017-6526,L&T Hydrogen Pilot,407.9,57.9,MTR-601890
2017,Q1,Grid Electricity,11476.732,862.46,Vadodara Chemicals,No,Petchem,7.2,DIS-2017-8074,DISCOM HT-Cat-A,9470.4,66.0,MTR-647222
2017,Q1,Diesel Generators,1319.034,128.65,Vadodara Chemicals,No,Petchem,9.5,ON--2017-9697,On-site fuel,902.1,74.2,MTR-394777
2017,Q1,Natural Gas,3877.77,228.62,Vadodara Chemicals,No,Petchem,5.8,GAI-2017-4930,GAIL APM,2557.8,52.6,MTR-761706
2017,Q1,Coal,1276.734,52.39,Vadodara Chemicals,No,Petchem,4.2,COA-2017-1165,Coal India e-auction,999.6,51.3,MTR-418115
2017,Q1,Furnace Oil,1097.67,65.71,Vadodara Chemicals,No,Petchem,6.1,IOC-2017-5481,IOCL bulk supply,1047.4,81.3,MTR-559165
2017,Q1,Solar (rooftop+OPEN),3189.005,125.23,Vadodara Chemicals,Yes,Petchem,3.9,TAT-2017-5957,Tata Power Solar PPA,2491.2,53.1,MTR-907303
2017,Q1,Wind PPA,1388.657,60.97,Vadodara Chemicals,Yes,Petchem,4.4,REN-2017-1947,ReNew Power PPA-2031,1263.8,84.2,MTR-152446
2017,Q1,Biomass,786.881,43.47,Vadodara Chemicals,Yes,Petchem,5.5,PEL-2017-6871,Pellet Plant — local,867.5,82.1,MTR-753864
2017,Q1,Green Hydrogen Pilot,253.523,44.56,Vadodara Chemicals,Yes,Petchem,18.0,L&T-2017-3121,L&T Hydrogen Pilot,193.9,69.7,MTR-606033
2017,Q1,Grid Electricity,8938.605,622.22,Paradip Plant,No,Petchem,7.2,DIS-2017-9976,DISCOM HT-Cat-A,9823.5,79.1,MTR-321824
2017,Q1,Diesel Generators,1073.747,97.68,Paradip Plant,No,Petchem,9.5,ON--2017-9296,On-site fuel,1206.8,75.9,MTR-951905
2017,Q1,Natural Gas,3623.788,212.14,Paradip Plant,No,Petchem,5.8,GAI-2017-4529,GAIL APM,3897.5,51.8,MTR-584976
2017,Q1,Coal,1164.323,47.39,Paradip Plant,No,Petchem,4.2,COA-2017-1566,Coal India e-auction,949.3,53.2,MTR-692710
2017,Q1,Furnace Oil,720.177,43.09,Paradip Plant,No,Petchem,6.1,IOC-2017-9408,IOCL bulk supply,472.5,60.5,MTR-917329
2017,Q1,Solar (rooftop+OPEN),2485.886,102.6,Paradip Plant,Yes,Petchem,3.9,TAT-2017-6358,Tata Power Solar PPA,2342.1,84.2,MTR-009597
2017,Q1,Wind PPA,901.271,38.12,Paradip Plant,Yes,Petchem,4.4,REN-2017-2348,ReNew Power PPA-2031,709.6,67.1,MTR-572958
2017,Q1,Biomass,691.999,39.84,Paradip Plant,Yes,Petchem,5.5,PEL-2017-7272,Pellet Plant — local,815.1,50.9,MTR-028460
2017,Q1,Green Hydrogen Pilot,202.891,35.29,Paradip Plant,Yes,Petchem,18.0,L&T-2017-2720,L&T Hydrogen Pilot,149.5,80.0,MTR-740649
2017,Q1,Grid Electricity,7007.585,535.59,Haldia Petchem,No,Petchem,7.2,DIS-2017-4538,DISCOM HT-Cat-A,8295.6,62.5,MTR-516973
2017,Q1,Diesel Generators,856.405,87.81,Haldia Petchem,No,Petchem,9.5,ON--2017-4967,On-site fuel,910.0,77.5,MTR-628964
2017,Q1,Natural Gas,3443.617,199.58,Haldia Petchem,No,Petchem,5.8,GAI-2017-6525,GAIL APM,3455.9,80.2,MTR-648313
2017,Q1,Coal,1075.851,45.42,Haldia Petchem,No,Petchem,4.2,COA-2017-7004,Coal India e-auction,1123.4,62.8,MTR-531508
2017,Q1,Furnace Oil,646.616,42.13,Haldia Petchem,No,Petchem,6.1,IOC-2017-5846,IOCL bulk supply,443.5,85.0,MTR-078532
2017,Q1,Solar (rooftop+OPEN),2268.37,92.1,Haldia Petchem,Yes,Petchem,3.9,TAT-2017-2796,Tata Power Solar PPA,2536.7,70.6,MTR-020697
2017,Q1,Wind PPA,988.677,43.06,Haldia Petchem,Yes,Petchem,4.4,REN-2017-5483,ReNew Power PPA-2031,730.5,48.3,MTR-316642
2017,Q1,Biomass,467.657,24.79,Haldia Petchem,Yes,Petchem,5.5,PEL-2017-1535,Pellet Plant — local,523.2,75.9,MTR-597063
2017,Q1,Green Hydrogen Pilot,194.754,36.48,Haldia Petchem,Yes,Petchem,18.0,L&T-2017-6282,L&T Hydrogen Pilot,202.7,74.5,MTR-492640
2017,Q1,Grid Electricity,6919.236,483.34,Gandhar Gas Cracker,No,Petchem,7.2,DIS-2017-2490,DISCOM HT-Cat-A,6043.8,84.7,MTR-053687
2017,Q1,Diesel Generators,775.275,72.51,Gandhar Gas Cracker,No,Petchem,9.5,ON--2017-7958,On-site fuel,709.2,60.9,MTR-531047
2017,Q1,Natural Gas,2988.766,169.29,Gandhar Gas Cracker,No,Petchem,5.8,GAI-2017-3063,GAIL APM,2665.3,69.5,MTR-853113
2017,Q1,Coal,1006.463,42.86,Gandhar Gas Cracker,No,Petchem,4.2,COA-2017-2904,Coal India e-auction,693.0,68.7,MTR-790242
2017,Q1,Furnace Oil,552.735,33.23,Gandhar Gas Cracker,No,Petchem,6.1,IOC-2017-3742,IOCL bulk supply,633.7,57.6,MTR-422895
2017,Q1,Solar (rooftop+OPEN),1952.593,79.82,Gandhar Gas Cracker,Yes,Petchem,3.9,TAT-2017-7696,Tata Power Solar PPA,1346.0,76.7,MTR-771033
2017,Q1,Wind PPA,744.78,32.08,Gandhar Gas Cracker,Yes,Petchem,4.4,REN-2017-3686,ReNew Power PPA-2031,620.3,52.7,MTR-016176
2017,Q1,Biomass,535.181,29.18,Gandhar Gas Cracker,Yes,Petchem,5.5,PEL-2017-8610,Pellet Plant — local,415.5,77.6,MTR-454493
2017,Q1,Green Hydrogen Pilot,156.946,27.36,Gandhar Gas Cracker,Yes,Petchem,18.0,L&T-2017-1382,L&T Hydrogen Pilot,139.5,79.2,MTR-742303
2017,Q1,Grid Electricity,6127.386,474.2,Dahej Industrial Cluster,No,Petchem,7.2,DIS-2017-5603,DISCOM HT-Cat-A,6052.6,52.5,MTR-568151
2017,Q1,Diesel Generators,679.286,64.53,Dahej Industrial Cluster,No,Petchem,9.5,ON--2017-3902,On-site fuel,569.0,72.7,MTR-714089
2017,Q1,Natural Gas,2577.372,145.16,Dahej Industrial Cluster,No,Petchem,5.8,GAI-2017-9156,GAIL APM,1955.4,63.8,MTR-733438
2017,Q1,Coal,867.808,38.18,Dahej Industrial Cluster,No,Petchem,4.2,COA-2017-5939,Coal India e-auction,938.2,69.4,MTR-446383
2017,Q1,Furnace Oil,696.535,44.21,Dahej Industrial Cluster,No,Petchem,6.1,IOC-2017-4781,IOCL bulk supply,753.2,74.9,MTR-163657
2017,Q1,Solar (rooftop+OPEN),2224.575,90.48,Dahej Industrial Cluster,Yes,Petchem,3.9,TAT-2017-1731,Tata Power Solar PPA,2231.4,71.8,MTR-255924
2017,Q1,Wind PPA,748.886,33.87,Dahej Industrial Cluster,Yes,Petchem,4.4,REN-2017-4418,ReNew Power PPA-2031,709.3,69.3,MTR-231517
2017,Q1,Biomass,475.986,27.66,Dahej Industrial Cluster,Yes,Petchem,5.5,PEL-2017-5146,Pellet Plant — local,318.8,76.2,MTR-488061
2017,Q1,Green Hydrogen Pilot,146.889,25.29,Dahej Industrial Cluster,Yes,Petchem,18.0,L&T-2017-7347,L&T Hydrogen Pilot,135.4,78.2,MTR-494322
2017,Q1,Grid Electricity,6778.728,490.48,Nagothane Plant,No,Petchem,7.2,DIS-2017-4626,DISCOM HT-Cat-A,5912.7,81.8,MTR-342431
2017,Q1,Diesel Generators,704.688,68.92,Nagothane Plant,No,Petchem,9.5,ON--2017-7054,On-site fuel,716.9,74.7,MTR-605400
2017,Q1,Natural Gas,2722.226,158.31,Nagothane Plant,No,Petchem,5.8,GAI-2017-8179,GAIL APM,2582.5,59.1,MTR-822855
2017,Q1,Coal,808.293,33.09,Nagothane Plant,No,Petchem,4.2,COA-2017-7700,Coal India e-auction,738.3,85.0,MTR-715121
2017,Q1,Furnace Oil,519.366,34.07,Nagothane Plant,No,Petchem,6.1,IOC-2017-8858,IOCL bulk supply,551.7,58.4,MTR-746925
2017,Q1,Solar (rooftop+OPEN),2030.405,82.47,Nagothane Plant,Yes,Petchem,3.9,TAT-2017-2908,Tata Power Solar PPA,2161.4,56.8,MTR-654658
2017,Q1,Wind PPA,621.568,28.76,Nagothane Plant,Yes,Petchem,4.4,REN-2017-7570,ReNew Power PPA-2031,509.8,62.4,MTR-340206
2017,Q1,Biomass,412.666,22.57,Nagothane Plant,Yes,Petchem,5.5,PEL-2017-3622,Pellet Plant — local,366.8,75.3,MTR-501219
2017,Q1,Green Hydrogen Pilot,140.523,24.74,Nagothane Plant,Yes,Petchem,18.0,L&T-2017-4630,L&T Hydrogen Pilot,144.1,59.9,MTR-816656
2017,Q1,Grid Electricity,5925.755,442.94,Visakhapatnam Port,No,Logistics,7.2,DIS-2017-7337,DISCOM HT-Cat-A,3939.3,66.4,MTR-285247
2017,Q1,Diesel Generators,720.261,73.5,Visakhapatnam Port,No,Logistics,9.5,ON--2017-2040,On-site fuel,678.7,52.6,MTR-889811
2017,Q1,Natural Gas,2822.771,162.44,Visakhapatnam Port,No,Logistics,5.8,GAI-2017-3598,GAIL APM,3328.9,76.8,MTR-870462
2017,Q1,Coal,761.92,32.55,Visakhapatnam Port,No,Logistics,4.2,COA-2017-4077,Coal India e-auction,652.0,53.6,MTR-169693
2017,Q1,Furnace Oil,481.185,30.77,Visakhapatnam Port,No,Logistics,6.1,IOC-2017-2569,IOCL bulk supply,346.6,57.2,MTR-310743
2017,Q1,Solar (rooftop+OPEN),2015.915,84.39,Visakhapatnam Port,Yes,Logistics,3.9,TAT-2017-8869,Tata Power Solar PPA,2195.8,51.7,MTR-532614
2017,Q1,Wind PPA,757.931,34.07,Visakhapatnam Port,Yes,Logistics,4.4,REN-2017-2684,ReNew Power PPA-2031,544.0,62.5,MTR-366170
2017,Q1,Biomass,421.104,24.16,Visakhapatnam Port,Yes,Logistics,5.5,PEL-2017-7608,Pellet Plant — local,480.1,79.7,MTR-956247
2017,Q1,Green Hydrogen Pilot,120.105,20.94,Visakhapatnam Port,Yes,Logistics,18.0,L&T-2017-9209,L&T Hydrogen Pilot,138.1,58.0,MTR-854455
2017,Q1,Grid Electricity,5326.69,393.73,Mangalore Storage,No,Logistics,7.2,DIS-2017-3495,DISCOM HT-Cat-A,6050.5,59.7,MTR-713181
2017,Q1,Diesel Generators,441.979,43.7,Mangalore Storage,No,Logistics,9.5,ON--2017-3616,On-site fuel,499.0,85.6,MTR-709645
2017,Q1,Natural Gas,2004.488,124.07,Mangalore Storage,No,Logistics,5.8,GAI-2017-8942,GAIL APM,2226.6,77.8,MTR-193619
2017,Q1,Coal,564.231,22.78,Mangalore Storage,No,Logistics,4.2,COA-2017-7246,Coal India e-auction,631.4,60.4,MTR-777344
2017,Q1,Furnace Oil,456.509,26.58,Mangalore Storage,No,Logistics,6.1,IOC-2017-8400,IOCL bulk supply,546.6,64.8,MTR-636294
2017,Q1,Solar (rooftop+OPEN),1337.378,52.76,Mangalore Storage,Yes,Logistics,3.9,TAT-2017-3038,Tata Power Solar PPA,1503.7,85.3,MTR-592435
2017,Q1,Wind PPA,458.975,20.59,Mangalore Storage,Yes,Logistics,4.4,REN-2017-8028,ReNew Power PPA-2031,328.8,82.6,MTR-029074
2017,Q1,Biomass,283.08,15.73,Mangalore Storage,Yes,Logistics,5.5,PEL-2017-3952,Pellet Plant — local,260.4,53.7,MTR-438996
2017,Q1,Green Hydrogen Pilot,104.682,17.91,Mangalore Storage,Yes,Logistics,18.0,L&T-2017-6040,L&T Hydrogen Pilot,93.2,73.4,MTR-270594
2017,Q1,Grid Electricity,3654.966,282.98,Kochi Tankage,No,Logistics,7.2,DIS-2017-5456,DISCOM HT-Cat-A,2902.3,64.3,MTR-002449
2017,Q1,Diesel Generators,380.048,35.75,Kochi Tankage,No,Logistics,9.5,ON--2017-1655,On-site fuel,350.5,54.8,MTR-874606
2017,Q1,Natural Gas,1397.591,80.67,Kochi Tankage,No,Logistics,5.8,GAI-2017-8728,GAIL APM,1520.1,79.3,MTR-758463
2017,Q1,Coal,464.732,19.95,Kochi Tankage,No,Logistics,4.2,COA-2017-1921,Coal India e-auction,313.3,72.1,MTR-735418
2017,Q1,Furnace Oil,391.304,22.73,Kochi Tankage,No,Logistics,6.1,IOC-2017-8049,IOCL bulk supply,307.3,50.4,MTR-328245
2017,Q1,Solar (rooftop+OPEN),1014.187,41.31,Kochi Tankage,Yes,Logistics,3.9,TAT-2017-6129,Tata Power Solar PPA,1168.6,58.6,MTR-634361
2017,Q1,Wind PPA,489.525,22.15,Kochi Tankage,Yes,Logistics,4.4,REN-2017-1139,ReNew Power PPA-2031,340.5,58.0,MTR-071000
2017,Q1,Biomass,224.881,12.08,Kochi Tankage,Yes,Logistics,5.5,PEL-2017-5215,Pellet Plant — local,233.2,82.5,MTR-480922
2017,Q1,Green Hydrogen Pilot,87.908,16.85,Kochi Tankage,Yes,Logistics,18.0,L&T-2017-1409,L&T Hydrogen Pilot,101.1,69.1,MTR-836953
2017,Q1,Grid Electricity,3284.845,227.74,Nashik Logistics,No,Logistics,7.2,DIS-2017-7771,DISCOM HT-Cat-A,2582.9,84.4,MTR-558908
2017,Q1,Diesel Generators,358.212,34.26,Nashik Logistics,No,Logistics,9.5,ON--2017-8468,On-site fuel,281.8,67.4,MTR-765624
2017,Q1,Natural Gas,1511.255,88.98,Nashik Logistics,No,Logistics,5.8,GAI-2017-2043,GAIL APM,1622.7,83.8,MTR-922301
2017,Q1,Coal,519.327,22.32,Nashik Logistics,No,Logistics,4.2,COA-2017-8606,Coal India e-auction,518.0,83.2,MTR-416184
2017,Q1,Furnace Oil,323.385,20.6,Nashik Logistics,No,Logistics,6.1,IOC-2017-1364,IOCL bulk supply,373.6,85.7,MTR-647479
2017,Q1,Solar (rooftop+OPEN),894.267,35.14,Nashik Logistics,Yes,Logistics,3.9,TAT-2017-3814,Tata Power Solar PPA,928.4,52.9,MTR-953595
2017,Q1,Wind PPA,379.09,17.17,Nashik Logistics,Yes,Logistics,4.4,REN-2017-7824,ReNew Power PPA-2031,288.7,84.0,MTR-390234
2017,Q1,Biomass,205.845,11.3,Nashik Logistics,Yes,Logistics,5.5,PEL-2017-2900,Pellet Plant — local,139.7,50.9,MTR-800156
2017,Q1,Green Hydrogen Pilot,86.242,16.66,Nashik Logistics,Yes,Logistics,18.0,L&T-2017-1892,L&T Hydrogen Pilot,83.5,53.6,MTR-517719
2017,Q1,Grid Electricity,3301.345,230.94,Kandla Terminal,No,Logistics,7.2,DIS-2017-4772,DISCOM HT-Cat-A,3702.5,71.3,MTR-606971
2017,Q1,Diesel Generators,377.185,37.12,Kandla Terminal,No,Logistics,9.5,ON--2017-2467,On-site fuel,382.9,78.1,MTR-859416
2017,Q1,Natural Gas,1139.478,66.74,Kandla Terminal,No,Logistics,5.8,GAI-2017-9909,GAIL APM,918.7,67.3,MTR-159932
2017,Q1,Coal,473.121,20.56,Kandla Terminal,No,Logistics,4.2,COA-2017-8395,Coal India e-auction,442.8,67.5,MTR-130896
2017,Q1,Furnace Oil,287.998,18.3,Kandla Terminal,No,Logistics,6.1,IOC-2017-9540,IOCL bulk supply,190.4,54.7,MTR-719651
2017,Q1,Solar (rooftop+OPEN),978.567,36.96,Kandla Terminal,Yes,Logistics,3.9,TAT-2017-4187,Tata Power Solar PPA,844.4,69.3,MTR-910589
2017,Q1,Wind PPA,373.955,17.44,Kandla Terminal,Yes,Logistics,4.4,REN-2017-1823,ReNew Power PPA-2031,352.4,64.7,MTR-675522
2017,Q1,Biomass,213.264,11.92,Kandla Terminal,Yes,Logistics,5.5,PEL-2017-5899,Pellet Plant — local,173.3,65.7,MTR-085445
2017,Q1,Green Hydrogen Pilot,61.407,10.67,Kandla Terminal,Yes,Logistics,18.0,L&T-2017-4891,L&T Hydrogen Pilot,43.1,52.9,MTR-232431
2017,Q1,Grid Electricity,3021.156,220.77,Tuticorin Port Cluster,No,Logistics,7.2,DIS-2017-6801,DISCOM HT-Cat-A,2619.3,53.8,MTR-047845
2017,Q1,Diesel Generators,414.283,37.85,Tuticorin Port Cluster,No,Logistics,9.5,ON--2017-2704,On-site fuel,342.0,71.6,MTR-878304
2017,Q1,Natural Gas,1291.991,76.88,Tuticorin Port Cluster,No,Logistics,5.8,GAI-2017-7471,GAIL APM,1367.2,71.5,MTR-560712
2017,Q1,Coal,463.01,20.12,Tuticorin Port Cluster,No,Logistics,4.2,COA-2017-3050,Coal India e-auction,310.7,51.8,MTR-303504
2017,Q1,Furnace Oil,325.037,21.39,Tuticorin Port Cluster,No,Logistics,6.1,IOC-2017-4208,IOCL bulk supply,353.2,65.9,MTR-841456
2017,Q1,Solar (rooftop+OPEN),878.812,33.94,Tuticorin Port Cluster,Yes,Logistics,3.9,TAT-2017-7258,Tata Power Solar PPA,598.3,58.3,MTR-066276
2017,Q1,Wind PPA,432.879,18.55,Tuticorin Port Cluster,Yes,Logistics,4.4,REN-2017-3220,ReNew Power PPA-2031,425.8,49.3,MTR-248176
2017,Q1,Biomass,242.385,13.7,Tuticorin Port Cluster,Yes,Logistics,5.5,PEL-2017-6344,Pellet Plant — local,273.7,60.9,MTR-967754
2017,Q1,Green Hydrogen Pilot,76.603,13.51,Tuticorin Port Cluster,Yes,Logistics,18.0,L&T-2017-9280,L&T Hydrogen Pilot,80.1,75.0,MTR-405039
2017,Q1,Grid Electricity,3607.519,269.8,Kolkata Distribution,No,Distribution,7.2,DIS-2017-5367,DISCOM HT-Cat-A,3905.3,83.3,MTR-036250
2017,Q1,Diesel Generators,472.658,42.99,Kolkata Distribution,No,Distribution,9.5,ON--2017-1744,On-site fuel,461.4,72.3,MTR-039786
2017,Q1,Natural Gas,1692.478,94.68,Kolkata Distribution,No,Distribution,5.8,GAI-2017-8639,GAIL APM,1264.6,64.8,MTR-207735
2017,Q1,Coal,501.498,22.01,Kolkata Distribution,No,Distribution,4.2,COA-2017-9118,Coal India e-auction,403.1,53.2,MTR-972086
2017,Q1,Furnace Oil,297.643,18.83,Kolkata Distribution,No,Distribution,6.1,IOC-2017-7960,IOCL bulk supply,238.5,55.5,MTR-637953
2017,Q1,Solar (rooftop+OPEN),1250.785,47.17,Kolkata Distribution,Yes,Distribution,3.9,TAT-2017-4910,Tata Power Solar PPA,844.0,79.7,MTR-730220
2017,Q1,Wind PPA,452.128,20.14,Kolkata Distribution,Yes,Distribution,4.4,REN-2017-1228,ReNew Power PPA-2031,468.9,78.1,MTR-895198
2017,Q1,Biomass,241.266,13.81,Kolkata Distribution,Yes,Distribution,5.5,PEL-2017-5824,Pellet Plant — local,211.9,62.3,MTR-116340
2017,Q1,Green Hydrogen Pilot,97.186,17.6,Kolkata Distribution,Yes,Distribution,18.0,L&T-2017-4168,L&T Hydrogen Pilot,110.0,86.0,MTR-052062
2017,Q1,Grid Electricity,2757.595,205.84,Hyderabad Distribution,No,Distribution,7.2,DIS-2017-9038,DISCOM HT-Cat-A,2681.0,84.9,MTR-937195
2017,Q1,Diesel Generators,371.989,37.32,Hyderabad Distribution,No,Distribution,9.5,ON--2017-7073,On-site fuel,270.2,54.5,MTR-933659
2017,Q1,Natural Gas,1170.146,70.7,Hyderabad Distribution,No,Distribution,5.8,GAI-2017-3310,GAIL APM,832.7,56.0,MTR-181181
2017,Q1,Coal,464.951,20.08,Hyderabad Distribution,No,Distribution,4.2,COA-2017-3789,Coal India e-auction,458.7,58.5,MTR-998640
2017,Q1,Furnace Oil,294.697,18.42,Hyderabad Distribution,No,Distribution,6.1,IOC-2017-2631,IOCL bulk supply,319.8,56.0,MTR-611399
2017,Q1,Solar (rooftop+OPEN),833.879,34.38,Hyderabad Distribution,Yes,Distribution,3.9,TAT-2017-8581,Tata Power Solar PPA,676.7,56.5,MTR-703666
2017,Q1,Wind PPA,313.875,13.94,Hyderabad Distribution,Yes,Distribution,4.4,REN-2017-6557,ReNew Power PPA-2031,250.0,62.1,MTR-868644
2017,Q1,Biomass,203.066,10.87,Hyderabad Distribution,Yes,Distribution,5.5,PEL-2017-1505,Pellet Plant — local,155.5,64.0,MTR-292368
2017,Q1,Green Hydrogen Pilot,75.34,14.59,Hyderabad Distribution,Yes,Distribution,18.0,L&T-2017-9497,L&T Hydrogen Pilot,89.7,53.7,MTR-046580
2017,Q1,Grid Electricity,3006.871,230.49,Lucknow Distribution,No,Distribution,7.2,DIS-2017-1454,DISCOM HT-Cat-A,2876.5,58.6,MTR-631198
2017,Q1,Diesel Generators,293.977,27.57,Lucknow Distribution,No,Distribution,9.5,ON--2017-8831,On-site fuel,317.1,60.1,MTR-883643
2017,Q1,Natural Gas,1009.186,62.27,Lucknow Distribution,No,Distribution,5.8,GAI-2017-4726,GAIL APM,1022.7,52.7,MTR-804282
2017,Q1,Coal,347.692,15.23,Lucknow Distribution,No,Distribution,4.2,COA-2017-5923,Coal India e-auction,403.7,55.3,MTR-773922
2017,Q1,Furnace Oil,275.328,16.41,Lucknow Distribution,No,Distribution,6.1,IOC-2017-4047,IOCL bulk supply,255.2,53.2,MTR-234501
2017,Q1,Solar (rooftop+OPEN),734.07,30.11,Lucknow Distribution,Yes,Distribution,3.9,TAT-2017-1131,Tata Power Solar PPA,633.5,61.6,MTR-928384
2017,Q1,Wind PPA,327.97,14.0,Lucknow Distribution,Yes,Distribution,4.4,REN-2017-5141,ReNew Power PPA-2031,370.7,72.4,MTR-491746
2017,Q1,Biomass,173.261,9.35,Lucknow Distribution,Yes,Distribution,5.5,PEL-2017-9217,Pellet Plant — local,158.4,80.7,MTR-109672
2017,Q1,Green Hydrogen Pilot,57.515,11.1,Lucknow Distribution,Yes,Distribution,18.0,L&T-2017-6407,L&T Hydrogen Pilot,48.0,72.4,MTR-672387
2017,Q1,Grid Electricity,2010.659,153.14,Indore Distribution,No,Distribution,7.2,DIS-2017-7359,DISCOM HT-Cat-A,1997.9,68.2,MTR-576808
2017,Q1,Diesel Generators,240.727,23.09,Indore Distribution,No,Distribution,9.5,ON--2017-8752,On-site fuel,262.4,51.1,MTR-580344
2017,Q1,Natural Gas,1061.321,59.7,Indore Distribution,No,Distribution,5.8,GAI-2017-3806,GAIL APM,762.5,74.2,MTR-588478
2017,Q1,Coal,334.886,13.9,Indore Distribution,No,Distribution,4.2,COA-2017-2110,Coal India e-auction,362.0,53.4,MTR-512645
2017,Q1,Furnace Oil,189.973,12.39,Indore Distribution,No,Distribution,6.1,IOC-2017-7873,IOCL bulk supply,144.0,74.1,MTR-130777
2017,Q1,Solar (rooftop+OPEN),575.801,21.44,Indore Distribution,Yes,Distribution,3.9,TAT-2017-1923,Tata Power Solar PPA,681.2,52.7,MTR-842081
2017,Q1,Wind PPA,255.455,11.59,Indore Distribution,Yes,Distribution,4.4,REN-2017-2892,ReNew Power PPA-2031,216.0,75.5,MTR-246976
2017,Q1,Biomass,159.14,8.4,Indore Distribution,Yes,Distribution,5.5,PEL-2017-7816,Pellet Plant — local,152.3,62.1,MTR-656898
