year,quarter,scope,category,subcategory,facility,facility_type,emissions_tco2e,unit,source,methodology,verified_by,confidence
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Hazira Refinery,Refinery,1647.648,tCO2e,Hazira Refinery — Fleet fuel cards,IPCC 2006 Tier-2,BSI (limited),0.89
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Hazira Refinery,Refinery,4921.996,tCO2e,Hazira Refinery — Process mass balance,IPCC 2006 Tier-3,,0.9
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Hazira Refinery,Refinery,1465.063,tCO2e,Hazira Refinery — LDAR programme,GHG Protocol Cross-Sector,DNV (limited),0.9
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Hazira Refinery,Refinery,6403.384,tCO2e,Hazira Refinery — DISCOM utility bills,GLEC Framework 3.0,,0.96
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Hazira Refinery,Refinery,1375.975,tCO2e,Hazira Refinery — Steam supply contract,GHG Protocol Cross-Sector,DNV (limited),0.92
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Hazira Refinery,Refinery,563.714,tCO2e,Hazira Refinery — Concur travel exports,IPCC 2006 Tier-1,Internal — EHS team,0.84
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Hazira Refinery,Refinery,858.3,tCO2e,Hazira Refinery — Annual commuter survey,IPCC 2006 Tier-3,DNV (limited),0.79
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Hazira Refinery,Refinery,3668.515,tCO2e,Hazira Refinery — Supplier invoice EEIO,IPCC 2006 Tier-2,Internal — EHS team,0.92
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Hazira Refinery,Refinery,1984.684,tCO2e,Hazira Refinery — 3PL freight ledgers,EPA Emission Factors Hub 2024,BSI (limited),0.81
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Hazira Refinery,Refinery,1206.394,tCO2e,Hazira Refinery — Project capex registers,API Compendium 2009,DNV (limited),0.84
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Hazira Refinery,Refinery,1528.083,tCO2e,Hazira Refinery — Waste contractor data,CEA Grid Factor v20.0,ERM (reasonable),0.86
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Jamnagar Polymer Plant,Petchem,5453.804,tCO2e,Jamnagar Polymer Plant — Boiler & furnace fuel logs,GHG Protocol Cross-Sector,Internal — EHS team,0.89
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Jamnagar Polymer Plant,Petchem,1464.409,tCO2e,Jamnagar Polymer Plant — Fleet fuel cards,IPCC 2006 Tier-1,DNV (limited),0.84
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Jamnagar Polymer Plant,Petchem,5009.937,tCO2e,Jamnagar Polymer Plant — Process mass balance,IPCC 2006 Tier-3,ERM (reasonable),0.9
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Jamnagar Polymer Plant,Petchem,1154.557,tCO2e,Jamnagar Polymer Plant — LDAR programme,DEFRA UK 2024,Internal — EHS team,0.81
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Jamnagar Polymer Plant,Petchem,5102.573,tCO2e,Jamnagar Polymer Plant — DISCOM utility bills,EPA Emission Factors Hub 2024,TUV Nord (reasonable),0.82
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Jamnagar Polymer Plant,Petchem,1190.535,tCO2e,Jamnagar Polymer Plant — Steam supply contract,IPCC 2006 Tier-3,BSI (limited),0.96
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Jamnagar Polymer Plant,Petchem,646.739,tCO2e,Jamnagar Polymer Plant — Concur travel exports,CEA Grid Factor v20.0,ERM (reasonable),0.83
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Jamnagar Polymer Plant,Petchem,719.76,tCO2e,Jamnagar Polymer Plant — Annual commuter survey,EPA Emission Factors Hub 2024,TUV Nord (limited),0.86
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Jamnagar Polymer Plant,Petchem,3622.554,tCO2e,Jamnagar Polymer Plant — Supplier invoice EEIO,EPA Emission Factors Hub 2024,Internal — EHS team,0.78
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Jamnagar Polymer Plant,Petchem,1921.329,tCO2e,Jamnagar Polymer Plant — 3PL freight ledgers,API Compendium 2009,TUV Nord (limited),0.89
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Jamnagar Polymer Plant,Petchem,1181.154,tCO2e,Jamnagar Polymer Plant — Project capex registers,IPCC 2006 Tier-1,BSI (limited),0.85
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Jamnagar Polymer Plant,Petchem,940.267,tCO2e,Jamnagar Polymer Plant — Waste contractor data,IPCC 2006 Tier-1,TUV Nord (limited),0.84
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Vadodara Chemicals,Petchem,3397.416,tCO2e,Vadodara Chemicals — Boiler & furnace fuel logs,IPCC 2006 Tier-1,ERM (reasonable),0.8
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Vadodara Chemicals,Petchem,900.869,tCO2e,Vadodara Chemicals — Fleet fuel cards,EPA Emission Factors Hub 2024,,0.97
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Vadodara Chemicals,Petchem,2501.987,tCO2e,Vadodara Chemicals — Process mass balance,GHG Protocol Cross-Sector,TUV Nord (reasonable),0.91
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Vadodara Chemicals,Petchem,727.698,tCO2e,Vadodara Chemicals — LDAR programme,CEA Grid Factor v20.0,DNV (limited),0.84
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Vadodara Chemicals,Petchem,3646.934,tCO2e,Vadodara Chemicals — DISCOM utility bills,IPCC 2006 Tier-1,TUV Nord (limited),0.86
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Vadodara Chemicals,Petchem,670.631,tCO2e,Vadodara Chemicals — Steam supply contract,IPCC 2006 Tier-1,,0.8
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Vadodara Chemicals,Petchem,305.147,tCO2e,Vadodara Chemicals — Concur travel exports,IPCC 2006 Tier-1,DNV (limited),0.81
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Vadodara Chemicals,Petchem,609.097,tCO2e,Vadodara Chemicals — Annual commuter survey,DEFRA UK 2024,BSI (limited),0.79
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Vadodara Chemicals,Petchem,1786.481,tCO2e,Vadodara Chemicals — Supplier invoice EEIO,API Compendium 2009,BSI (limited),0.86
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Vadodara Chemicals,Petchem,1252.313,tCO2e,Vadodara Chemicals — 3PL freight ledgers,CEA Grid Factor v20.0,BSI (limited),0.85
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Vadodara Chemicals,Petchem,658.578,tCO2e,Vadodara Chemicals — Project capex registers,IPCC 2006 Tier-1,TUV Nord (limited),0.8
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Vadodara Chemicals,Petchem,799.127,tCO2e,Vadodara Chemicals — Waste contractor data,CEA Grid Factor v20.0,ERM (reasonable),0.79
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Paradip Plant,Petchem,2979.06,tCO2e,Paradip Plant — Boiler & furnace fuel logs,GHG Protocol Cross-Sector,BSI (limited),0.86
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Paradip Plant,Petchem,988.761,tCO2e,Paradip Plant — Fleet fuel cards,EPA Emission Factors Hub 2024,DNV (limited),0.93
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Paradip Plant,Petchem,2081.48,tCO2e,Paradip Plant — Process mass balance,IPCC 2006 Tier-3,BSI (limited),0.91
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Paradip Plant,Petchem,539.697,tCO2e,Paradip Plant — LDAR programme,IPCC 2006 Tier-1,TUV Nord (reasonable),0.79
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Paradip Plant,Petchem,2742.318,tCO2e,Paradip Plant — DISCOM utility bills,IPCC 2006 Tier-3,ERM (reasonable),0.83
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Paradip Plant,Petchem,648.994,tCO2e,Paradip Plant — Steam supply contract,IPCC 2006 Tier-2,TUV Nord (reasonable),0.9
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Paradip Plant,Petchem,339.981,tCO2e,Paradip Plant — Concur travel exports,DEFRA UK 2024,Internal — EHS team,0.82
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Paradip Plant,Petchem,409.424,tCO2e,Paradip Plant — Annual commuter survey,DEFRA UK 2024,ERM (reasonable),0.93
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Paradip Plant,Petchem,1845.823,tCO2e,Paradip Plant — Supplier invoice EEIO,IPCC 2006 Tier-1,TUV Nord (limited),0.81
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Paradip Plant,Petchem,1082.214,tCO2e,Paradip Plant — 3PL freight ledgers,DEFRA UK 2024,Internal — EHS team,0.86
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Paradip Plant,Petchem,650.022,tCO2e,Paradip Plant — Project capex registers,CEA Grid Factor v20.0,BSI (limited),0.88
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Paradip Plant,Petchem,606.154,tCO2e,Paradip Plant — Waste contractor data,EPA Emission Factors Hub 2024,Internal — EHS team,0.81
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Haldia Petchem,Petchem,2541.101,tCO2e,Haldia Petchem — Boiler & furnace fuel logs,EPA Emission Factors Hub 2024,BSI (limited),0.88
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Haldia Petchem,Petchem,643.725,tCO2e,Haldia Petchem — Fleet fuel cards,IPCC 2006 Tier-2,TUV Nord (limited),0.93
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Haldia Petchem,Petchem,1779.195,tCO2e,Haldia Petchem — Process mass balance,IPCC 2006 Tier-2,BSI (limited),0.86
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Haldia Petchem,Petchem,500.77,tCO2e,Haldia Petchem — LDAR programme,GLEC Framework 3.0,TUV Nord (limited),0.85
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Haldia Petchem,Petchem,2169.151,tCO2e,Haldia Petchem — DISCOM utility bills,GHG Protocol Cross-Sector,ERM (reasonable),0.89
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Haldia Petchem,Petchem,479.98,tCO2e,Haldia Petchem — Steam supply contract,GHG Protocol Cross-Sector,TUV Nord (reasonable),0.79
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Haldia Petchem,Petchem,210.831,tCO2e,Haldia Petchem — Concur travel exports,IPCC 2006 Tier-1,ERM (reasonable),0.94
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Haldia Petchem,Petchem,389.853,tCO2e,Haldia Petchem — Annual commuter survey,IPCC 2006 Tier-3,TUV Nord (reasonable),0.8
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Haldia Petchem,Petchem,1528.101,tCO2e,Haldia Petchem — Supplier invoice EEIO,EPA Emission Factors Hub 2024,,0.86
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Haldia Petchem,Petchem,831.474,tCO2e,Haldia Petchem — 3PL freight ledgers,GHG Protocol Cross-Sector,Internal — EHS team,0.93
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Haldia Petchem,Petchem,539.933,tCO2e,Haldia Petchem — Project capex registers,GHG Protocol Cross-Sector,,0.94
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Haldia Petchem,Petchem,519.422,tCO2e,Haldia Petchem — Waste contractor data,DEFRA UK 2024,,0.92
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Gandhar Gas Cracker,Petchem,2072.855,tCO2e,Gandhar Gas Cracker — Boiler & furnace fuel logs,IPCC 2006 Tier-3,,0.96
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Gandhar Gas Cracker,Petchem,670.511,tCO2e,Gandhar Gas Cracker — Fleet fuel cards,CEA Grid Factor v20.0,Internal — EHS team,0.9
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Gandhar Gas Cracker,Petchem,1656.552,tCO2e,Gandhar Gas Cracker — Process mass balance,API Compendium 2009,BSI (limited),0.79
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Gandhar Gas Cracker,Petchem,528.861,tCO2e,Gandhar Gas Cracker — LDAR programme,IPCC 2006 Tier-1,DNV (limited),0.86
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Gandhar Gas Cracker,Petchem,2480.77,tCO2e,Gandhar Gas Cracker — DISCOM utility bills,EPA Emission Factors Hub 2024,BSI (limited),0.93
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Gandhar Gas Cracker,Petchem,379.986,tCO2e,Gandhar Gas Cracker — Steam supply contract,GHG Protocol Cross-Sector,DNV (limited),0.95
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Gandhar Gas Cracker,Petchem,201.088,tCO2e,Gandhar Gas Cracker — Concur travel exports,GHG Protocol Cross-Sector,TUV Nord (reasonable),0.9
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Gandhar Gas Cracker,Petchem,343.369,tCO2e,Gandhar Gas Cracker — Annual commuter survey,IPCC 2006 Tier-3,TUV Nord (limited),0.96
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Gandhar Gas Cracker,Petchem,1227.947,tCO2e,Gandhar Gas Cracker — Supplier invoice EEIO,API Compendium 2009,Internal — EHS team,0.89
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Gandhar Gas Cracker,Petchem,848.72,tCO2e,Gandhar Gas Cracker — 3PL freight ledgers,CEA Grid Factor v20.0,ERM (reasonable),0.89
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Gandhar Gas Cracker,Petchem,540.871,tCO2e,Gandhar Gas Cracker — Project capex registers,IPCC 2006 Tier-2,TUV Nord (limited),0.93
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Gandhar Gas Cracker,Petchem,489.898,tCO2e,Gandhar Gas Cracker — Waste contractor data,IPCC 2006 Tier-2,TUV Nord (reasonable),0.81
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Dahej Industrial Cluster,Petchem,2212.114,tCO2e,Dahej Industrial Cluster — Boiler & furnace fuel logs,GLEC Framework 3.0,TUV Nord (limited),0.82
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Dahej Industrial Cluster,Petchem,757.61,tCO2e,Dahej Industrial Cluster — Fleet fuel cards,GHG Protocol Cross-Sector,TUV Nord (limited),0.79
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Dahej Industrial Cluster,Petchem,1939.087,tCO2e,Dahej Industrial Cluster — Process mass balance,IPCC 2006 Tier-2,BSI (limited),0.95
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Dahej Industrial Cluster,Petchem,461.466,tCO2e,Dahej Industrial Cluster — LDAR programme,DEFRA UK 2024,,0.81
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Dahej Industrial Cluster,Petchem,2636.684,tCO2e,Dahej Industrial Cluster — DISCOM utility bills,GHG Protocol Cross-Sector,TUV Nord (limited),0.96
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Dahej Industrial Cluster,Petchem,398.234,tCO2e,Dahej Industrial Cluster — Steam supply contract,IPCC 2006 Tier-1,,0.8
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Dahej Industrial Cluster,Petchem,267.439,tCO2e,Dahej Industrial Cluster — Concur travel exports,GHG Protocol Cross-Sector,TUV Nord (limited),0.93
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Dahej Industrial Cluster,Petchem,379.28,tCO2e,Dahej Industrial Cluster — Annual commuter survey,GHG Protocol Cross-Sector,BSI (limited),0.81
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Dahej Industrial Cluster,Petchem,1389.261,tCO2e,Dahej Industrial Cluster — Supplier invoice EEIO,DEFRA UK 2024,BSI (limited),0.85
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Dahej Industrial Cluster,Petchem,722.374,tCO2e,Dahej Industrial Cluster — 3PL freight ledgers,IPCC 2006 Tier-3,BSI (limited),0.8
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Dahej Industrial Cluster,Petchem,430.347,tCO2e,Dahej Industrial Cluster — Project capex registers,DEFRA UK 2024,TUV Nord (reasonable),0.9
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Dahej Industrial Cluster,Petchem,418.852,tCO2e,Dahej Industrial Cluster — Waste contractor data,GLEC Framework 3.0,TUV Nord (limited),0.79
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Nagothane Plant,Petchem,1773.835,tCO2e,Nagothane Plant — Boiler & furnace fuel logs,API Compendium 2009,,0.83
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Nagothane Plant,Petchem,560.465,tCO2e,Nagothane Plant — Fleet fuel cards,API Compendium 2009,ERM (reasonable),0.94
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Nagothane Plant,Petchem,1587.513,tCO2e,Nagothane Plant — Process mass balance,CEA Grid Factor v20.0,BSI (limited),0.85
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Nagothane Plant,Petchem,476.436,tCO2e,Nagothane Plant — LDAR programme,GHG Protocol Cross-Sector,TUV Nord (limited),0.8
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Nagothane Plant,Petchem,2178.711,tCO2e,Nagothane Plant — DISCOM utility bills,IPCC 2006 Tier-1,TUV Nord (limited),0.89
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Nagothane Plant,Petchem,367.766,tCO2e,Nagothane Plant — Steam supply contract,IPCC 2006 Tier-1,TUV Nord (limited),0.84
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Nagothane Plant,Petchem,190.962,tCO2e,Nagothane Plant — Concur travel exports,IPCC 2006 Tier-2,DNV (limited),0.84
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Nagothane Plant,Petchem,319.433,tCO2e,Nagothane Plant — Annual commuter survey,DEFRA UK 2024,DNV (limited),0.89
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Nagothane Plant,Petchem,1391.259,tCO2e,Nagothane Plant — Supplier invoice EEIO,GHG Protocol Cross-Sector,ERM (reasonable),0.87
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Nagothane Plant,Petchem,617.554,tCO2e,Nagothane Plant — 3PL freight ledgers,GLEC Framework 3.0,TUV Nord (reasonable),0.83
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Nagothane Plant,Petchem,477.106,tCO2e,Nagothane Plant — Project capex registers,IPCC 2006 Tier-3,BSI (limited),0.89
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Nagothane Plant,Petchem,361.756,tCO2e,Nagothane Plant — Waste contractor data,IPCC 2006 Tier-3,ERM (reasonable),0.87
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Visakhapatnam Port,Logistics,1923.111,tCO2e,Visakhapatnam Port — Boiler & furnace fuel logs,IPCC 2006 Tier-2,TUV Nord (reasonable),0.86
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Visakhapatnam Port,Logistics,504.127,tCO2e,Visakhapatnam Port — Fleet fuel cards,API Compendium 2009,,0.84
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Visakhapatnam Port,Logistics,1474.463,tCO2e,Visakhapatnam Port — Process mass balance,CEA Grid Factor v20.0,DNV (limited),0.96
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Visakhapatnam Port,Logistics,471.841,tCO2e,Visakhapatnam Port — LDAR programme,GLEC Framework 3.0,BSI (limited),0.83
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Visakhapatnam Port,Logistics,2363.325,tCO2e,Visakhapatnam Port — DISCOM utility bills,GHG Protocol Cross-Sector,TUV Nord (reasonable),0.88
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Visakhapatnam Port,Logistics,422.825,tCO2e,Visakhapatnam Port — Steam supply contract,GLEC Framework 3.0,Internal — EHS team,0.96
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Visakhapatnam Port,Logistics,209.855,tCO2e,Visakhapatnam Port — Concur travel exports,IPCC 2006 Tier-3,TUV Nord (limited),0.86
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Visakhapatnam Port,Logistics,331.689,tCO2e,Visakhapatnam Port — Annual commuter survey,IPCC 2006 Tier-1,ERM (reasonable),0.91
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Visakhapatnam Port,Logistics,1447.699,tCO2e,Visakhapatnam Port — Supplier invoice EEIO,API Compendium 2009,ERM (reasonable),0.82
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Visakhapatnam Port,Logistics,760.315,tCO2e,Visakhapatnam Port — 3PL freight ledgers,GHG Protocol Cross-Sector,Internal — EHS team,0.82
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Visakhapatnam Port,Logistics,425.966,tCO2e,Visakhapatnam Port — Project capex registers,CEA Grid Factor v20.0,TUV Nord (limited),0.79
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Visakhapatnam Port,Logistics,341.529,tCO2e,Visakhapatnam Port — Waste contractor data,GLEC Framework 3.0,TUV Nord (limited),0.82
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Mangalore Storage,Logistics,1371.593,tCO2e,Mangalore Storage — Boiler & furnace fuel logs,GHG Protocol Cross-Sector,TUV Nord (limited),0.8
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Mangalore Storage,Logistics,530.672,tCO2e,Mangalore Storage — Fleet fuel cards,GLEC Framework 3.0,DNV (limited),0.83
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Mangalore Storage,Logistics,1117.147,tCO2e,Mangalore Storage — Process mass balance,CEA Grid Factor v20.0,BSI (limited),0.88
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Mangalore Storage,Logistics,290.723,tCO2e,Mangalore Storage — LDAR programme,API Compendium 2009,ERM (reasonable),0.88
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Mangalore Storage,Logistics,1685.587,tCO2e,Mangalore Storage — DISCOM utility bills,GLEC Framework 3.0,DNV (limited),0.84
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Mangalore Storage,Logistics,313.614,tCO2e,Mangalore Storage — Steam supply contract,EPA Emission Factors Hub 2024,ERM (reasonable),0.96
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Mangalore Storage,Logistics,162.566,tCO2e,Mangalore Storage — Concur travel exports,EPA Emission Factors Hub 2024,TUV Nord (reasonable),0.85
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Mangalore Storage,Logistics,232.298,tCO2e,Mangalore Storage — Annual commuter survey,API Compendium 2009,BSI (limited),0.94
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Mangalore Storage,Logistics,881.192,tCO2e,Mangalore Storage — Supplier invoice EEIO,IPCC 2006 Tier-3,ERM (reasonable),0.92
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Mangalore Storage,Logistics,474.544,tCO2e,Mangalore Storage — 3PL freight ledgers,IPCC 2006 Tier-3,TUV Nord (limited),0.93
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Mangalore Storage,Logistics,358.403,tCO2e,Mangalore Storage — Project capex registers,API Compendium 2009,ERM (reasonable),0.8
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Mangalore Storage,Logistics,357.831,tCO2e,Mangalore Storage — Waste contractor data,IPCC 2006 Tier-1,DNV (limited),0.86
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Kochi Tankage,Logistics,1198.208,tCO2e,Kochi Tankage — Boiler & furnace fuel logs,GHG Protocol Cross-Sector,ERM (reasonable),0.86
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Kochi Tankage,Logistics,428.96,tCO2e,Kochi Tankage — Fleet fuel cards,DEFRA UK 2024,DNV (limited),0.79
