fiscal_period,event_type,capex_climate,opex_climate,impairment_amount,insurance_recovery,affected_asset_id,gl_account,scenario_tag,description,approver,supporting_doc,currency,narrative
FY2014-Q1,Transition,0.03,1.35,0,0.0,Lucknow Distribution,GL-1100-CapEx,IEA-APS,EU CSRD Reporting Compliance,Treasurer,CFI-FY2014-Q1-440402.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,61.14,2.24,0,0.0,Hyderabad Catalysis Lab,GL-8500-OpEx,RCP2.6,Plant Decommissioning — Coal,Plant FC,CFI-FY2014-Q1-813508.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Chronic,0.71,3.59,0,0.0,Surat Polymer Lab,GL-4100-Impair,NGFS-NetZero2050,Rising Avg Temp — Cooling Demand,Plant FC,CFI-FY2014-Q1-593858.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,29.33,3.82,0,0.0,Vadodara Chemicals,GL-8500-OpEx,NGFS-DivergentNetZero,Carbon Capture & Storage Pilot,Controller,CFI-FY2014-Q1-503685.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,14.49,4.05,0,0.0,Hyderabad Distribution,GL-4100-Impair,RCP8.5,Renewable PPA — Long-term Contract,CFO,CFI-FY2014-Q1-358287.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Chronic,46.43,3.98,0,0.0,Paradip Plant,GL-1200-CapEx,IEA-STEPS,Sea-Level Rise — Coastal Defences,Controller,CFI-FY2014-Q1-764927.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Transition,55.0,1.42,0,0.0,Pune R&D Center,GL-1100-CapEx,IEA-STEPS,Plant Decommissioning — Coal,Group FC,CFI-FY2014-Q1-597346.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Acute,1.74,22.94,0,6.27,Bengaluru Tech Park,GL-1200-CapEx,RCP4.5,Cyclone Damage — Coastal Plant,Audit Committee,CFI-FY2014-Q1-972636.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Transition,28.19,1.12,0,0.0,Haldia Petchem,GL-5200-Insurance,RCP2.6,Plant Decommissioning — Coal,Plant FC,CFI-FY2014-Q1-303368.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Acute,0.77,21.93,0,10.83,Pune R&D Center,GL-4100-Impair,NGFS-DelayedTransition,Flood — Plant Shutdown,Treasurer,CFI-FY2014-Q1-486035.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Transition,5.92,4.35,0,0.0,Kandla Terminal,GL-2300-OpEx,IEA-NZE2050,R&D — Bio-feedstock,CFO,CFI-FY2014-Q1-908046.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Chronic,0.5,3.41,0,0.0,Hazira Refinery,GL-5200-Insurance,IEA-STEPS,Drought — Water Sourcing Cost,Plant FC,CFI-FY2014-Q1-115007.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Transition,0,0,181.23,0.0,Kandla Terminal,GL-7400-OpEx,IEA-NZE2050,Stranded Asset Impairment — Refinery,Audit Committee,CFI-FY2014-Q1-467911.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Acute,79.25,2.88,0,1.27,Paradip Plant,GL-5200-Insurance,IEA-STEPS,Wildfire — Asset Loss,CFO,CFI-FY2014-Q1-126161.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Acute,1.27,2.8,0,1.05,Kochi Sales Office,GL-6300-OpEx,RCP8.5,Flood — Plant Shutdown,Plant FC,CFI-FY2014-Q1-510766.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Acute,0.43,33.91,0,3.44,Mumbai HQ,GL-6300-OpEx,RCP4.5,Flood — Plant Shutdown,Group FC,CFI-FY2014-Q1-941716.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Chronic,0.03,4.83,0,0.0,Visakhapatnam Port,GL-5200-Insurance,IEA-NZE2050,Rising Avg Temp — Cooling Demand,Group FC,CFI-FY2014-Q1-247825.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Transition,0.7,2.74,0,0.0,Chennai Office,GL-1200-CapEx,NGFS-DelayedTransition,EU CSRD Reporting Compliance,Plant FC,CFI-FY2014-Q1-517013.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,0.38,36.03,0,0.0,Nashik Logistics,GL-3500-OpEx,RCP2.6,Carbon Tax Provision (India),Plant FC,CFI-FY2014-Q1-798794.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Transition,3.74,3.22,0,0.0,Chennai Office,GL-4100-Impair,IEA-NZE2050,EV Fleet Conversion,Plant FC,CFI-FY2014-Q1-396871.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Transition,0.42,5.01,0,0.0,Gandhar Gas Cracker,GL-4100-Impair,IEA-NZE2050,EU CSRD Reporting Compliance,Audit Committee,CFI-FY2014-Q1-302194.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Acute,0.85,12.44,0,2.98,Jamnagar Polymer Plant,GL-2400-OpEx,NGFS-DivergentNetZero,Flood — Plant Shutdown,Audit Committee,CFI-FY2014-Q1-436985.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Transition,17.92,1.31,0,0.0,Delhi Sales Hub,GL-1200-CapEx,RCP4.5,R&D — Bio-feedstock,Audit Committee,CFI-FY2014-Q1-336750.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Acute,1.09,23.85,0,13.76,Surat Polymer Lab,GL-2400-OpEx,RCP2.6,Flood — Plant Shutdown,Treasurer,CFI-FY2014-Q1-549406.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,0.77,5.95,0,0.0,Ahmedabad Office,GL-1100-CapEx,NGFS-DelayedTransition,EU CSRD Reporting Compliance,Controller,CFI-FY2014-Q1-730166.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Acute,1.19,21.93,0,12.83,Hazira Refinery,GL-3500-OpEx,IEA-APS,Flood — Plant Shutdown,Plant FC,CFI-FY2014-Q1-101110.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Chronic,0.55,3.69,0,0.0,Gandhar Gas Cracker,GL-2400-OpEx,NGFS-DelayedTransition,Rising Avg Temp — Cooling Demand,CFO,CFI-FY2014-Q1-613897.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Acute,65.16,1.37,0,0.59,Kolkata Distribution,GL-1200-CapEx,RCP8.5,Wildfire — Asset Loss,Group FC,CFI-FY2014-Q1-898851.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,1.0,9.22,0,0.0,Kochi Sales Office,GL-4100-Impair,IEA-NZE2050,Carbon Border Adjustment Mechanism,Plant FC,CFI-FY2014-Q1-625433.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Chronic,0.13,6.77,0,0.0,Hyderabad Distribution,GL-7400-OpEx,NGFS-NetZero2050,Drought — Water Sourcing Cost,CFO,CFI-FY2014-Q1-824801.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Transition,20.67,3.45,0,0.0,Haldia Petchem,GL-3500-OpEx,RCP2.6,Carbon Capture & Storage Pilot,Group FC,CFI-FY2014-Q1-338014.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Chronic,23.32,1.75,0,0.0,Nashik Logistics,GL-2300-OpEx,NGFS-NetZero2050,Sea-Level Rise — Coastal Defences,CFO,CFI-FY2014-Q1-301956.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Transition,1.92,3.42,0,0.0,Jaipur Office,GL-7400-OpEx,NGFS-DivergentNetZero,Carbon Price — Cap & Trade,CFO,CFI-FY2014-Q1-535850.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Chronic,0.77,4.0,0,0.0,Kolkata Distribution,GL-2400-OpEx,NGFS-DivergentNetZero,Drought — Water Sourcing Cost,Plant FC,CFI-FY2014-Q1-256899.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Transition,63.81,0.3,0,0.0,Nashik Logistics,GL-4100-Impair,RCP8.5,Green Hydrogen Pilot Plant,Group FC,CFI-FY2014-Q1-768626.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Acute,0.92,23.8,0,4.99,Dahej Industrial Cluster,GL-4100-Impair,NGFS-NetZero2050,Cyclone Damage — Coastal Plant,Plant FC,CFI-FY2014-Q1-458601.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Acute,0.64,1.48,0,0.84,Tuticorin Port Cluster,GL-5200-Insurance,NGFS-DelayedTransition,Heatwave — Cooling Surge,Treasurer,CFI-FY2014-Q1-366926.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Transition,1.67,21.33,0,0.0,Bengaluru Tech Park,GL-6300-OpEx,IEA-STEPS,Carbon Border Adjustment Mechanism,CFO,CFI-FY2014-Q1-845648.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Chronic,59.9,3.99,0,0.0,Visakhapatnam Port,GL-8500-OpEx,RCP4.5,Sea-Level Rise — Coastal Defences,Audit Committee,CFI-FY2014-Q1-510124.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Chronic,0.17,4.57,0,0.0,Mangalore Storage,GL-1100-CapEx,RCP8.5,Drought — Water Sourcing Cost,Group FC,CFI-FY2014-Q1-576542.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Acute,0.28,32.32,0,14.84,Indore Distribution,GL-5200-Insurance,RCP8.5,Flood — Plant Shutdown,CFO,CFI-FY2014-Q1-760655.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Chronic,68.23,3.49,0,0.0,Lucknow Distribution,GL-6300-OpEx,IEA-APS,Sea-Level Rise — Coastal Defences,Plant FC,CFI-FY2014-Q1-577859.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Chronic,0.77,7.13,0,0.0,Tuticorin Port Cluster,GL-2300-OpEx,IEA-STEPS,Drought — Water Sourcing Cost,CFO,CFI-FY2014-Q1-322830.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,21.43,4.14,0,0.0,Ahmedabad Office,GL-1200-CapEx,IEA-STEPS,Renewable PPA — Long-term Contract,Group FC,CFI-FY2014-Q1-467397.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Chronic,23.97,2.04,0,0.0,Kandla Terminal,GL-4100-Impair,IEA-STEPS,Sea-Level Rise — Coastal Defences,Controller,CFI-FY2014-Q1-747133.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Chronic,56.71,1.32,0,0.0,Kochi Tankage,GL-4100-Impair,IEA-APS,Sea-Level Rise — Coastal Defences,Controller,CFI-FY2014-Q1-547938.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Acute,1.91,21.58,0,6.0,Haldia Petchem,GL-5200-Insurance,NGFS-DelayedTransition,Flood — Plant Shutdown,Group FC,CFI-FY2014-Q1-248683.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Transition,0.87,11.94,0,0.0,Delhi Sales Hub,GL-6300-OpEx,NGFS-NetZero2050,Carbon Tax Provision (India),Plant FC,CFI-FY2014-Q1-411547.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Transition,20.02,3.57,0,0.0,Mangalore Storage,GL-1100-CapEx,NGFS-NetZero2050,EV Fleet Conversion,CFO,CFI-FY2014-Q1-270497.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Acute,0.97,12.53,0,0.5,Hyderabad Distribution,GL-4100-Impair,NGFS-DelayedTransition,Cyclone Damage — Coastal Plant,Treasurer,CFI-FY2014-Q1-636718.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Transition,78.94,1.36,0,0.0,Vadodara Chemicals,GL-3500-OpEx,RCP4.5,Carbon Capture & Storage Pilot,Treasurer,CFI-FY2014-Q1-160923.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Transition,62.24,2.98,0,0.0,Nashik Logistics,GL-4100-Impair,NGFS-DelayedTransition,Carbon Capture & Storage Pilot,Controller,CFI-FY2014-Q1-426652.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Acute,1.05,13.42,0,7.89,Nashik Logistics,GL-8500-OpEx,IEA-NZE2050,Flood — Plant Shutdown,Treasurer,CFI-FY2014-Q1-282169.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Chronic,71.23,2.67,0,0.0,Surat Polymer Lab,GL-2400-OpEx,NGFS-NetZero2050,Sea-Level Rise — Coastal Defences,Audit Committee,CFI-FY2014-Q1-168302.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,21.27,3.76,0,0.0,Dahej Industrial Cluster,GL-8500-OpEx,IEA-STEPS,EV Fleet Conversion,Group FC,CFI-FY2014-Q1-425499.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Acute,0.9,28.11,0,14.55,Hazira Refinery,GL-8500-OpEx,RCP8.5,Flood — Plant Shutdown,Controller,CFI-FY2014-Q1-377617.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,19.15,0.87,0,0.0,Pune R&D Center,GL-7400-OpEx,IEA-STEPS,EV Fleet Conversion,Treasurer,CFI-FY2014-Q1-690598.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,1.51,5.63,0,0.0,Bengaluru Tech Park,GL-4100-Impair,IEA-APS,Carbon Tax Provision (India),Plant FC,CFI-FY2014-Q1-179261.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Chronic,0.53,7.99,0,0.0,Pune R&D Center,GL-1200-CapEx,NGFS-DivergentNetZero,Rising Avg Temp — Cooling Demand,Treasurer,CFI-FY2014-Q1-789191.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Acute,0.96,8.04,0,4.68,Dahej Industrial Cluster,GL-7400-OpEx,IEA-STEPS,Cyclone Damage — Coastal Plant,Controller,CFI-FY2014-Q1-221829.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,0.95,17.69,0,0.0,Hyderabad Distribution,GL-8500-OpEx,NGFS-NetZero2050,Carbon Price — Cap & Trade,Controller,CFI-FY2014-Q1-216338.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,19.06,3.32,0,0.0,Hyderabad Distribution,GL-1200-CapEx,IEA-STEPS,EV Fleet Conversion,Audit Committee,CFI-FY2014-Q1-447219.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,17.68,3.28,0,0.0,Surat Polymer Lab,GL-1100-CapEx,NGFS-NetZero2050,R&D — Bio-feedstock,CFO,CFI-FY2014-Q1-112632.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,1.6,35.77,0,0.0,Nashik Logistics,GL-7400-OpEx,NGFS-DelayedTransition,Carbon Price — Cap & Trade,Plant FC,CFI-FY2014-Q1-512060.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Acute,0.66,3.91,0,2.14,Kochi Tankage,GL-1200-CapEx,RCP2.6,Heatwave — Cooling Surge,Plant FC,CFI-FY2014-Q1-819047.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Acute,18.26,3.41,0,1.64,Nagothane Plant,GL-2400-OpEx,IEA-NZE2050,Wildfire — Asset Loss,CFO,CFI-FY2014-Q1-974529.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Transition,0.09,4.36,0,0.0,Ahmedabad Office,GL-1100-CapEx,IEA-APS,EU CSRD Reporting Compliance,Group FC,CFI-FY2014-Q1-190413.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Transition,1.1,13.89,0,0.0,Haldia Petchem,GL-8500-OpEx,IEA-STEPS,Carbon Border Adjustment Mechanism,Plant FC,CFI-FY2014-Q1-485648.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,0.14,31.05,0,0.0,Indore Distribution,GL-7400-OpEx,RCP2.6,Carbon Price — Cap & Trade,Audit Committee,CFI-FY2014-Q1-858569.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Transition,0.27,39.45,0,0.0,Kochi Sales Office,GL-2400-OpEx,IEA-APS,Carbon Border Adjustment Mechanism,Plant FC,CFI-FY2014-Q1-284873.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,56.53,0.67,0,0.0,Mumbai HQ,GL-2300-OpEx,RCP2.6,Plant Decommissioning — Coal,CFO,CFI-FY2014-Q1-109801.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,0.15,2.11,0,0.0,Kochi Sales Office,GL-3500-OpEx,IEA-NZE2050,EU CSRD Reporting Compliance,Audit Committee,CFI-FY2014-Q1-540082.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Transition,11.05,1.89,0,0.0,Mumbai HQ,GL-5200-Insurance,RCP4.5,EV Fleet Conversion,Controller,CFI-FY2014-Q1-960003.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,0.25,5.42,0,0.0,Bengaluru Tech Park,GL-2400-OpEx,IEA-NZE2050,Carbon Border Adjustment Mechanism,Controller,CFI-FY2014-Q1-316143.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,6.65,4.03,0,0.0,Indore Distribution,GL-7400-OpEx,NGFS-NetZero2050,EV Fleet Conversion,Audit Committee,CFI-FY2014-Q1-860030.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Transition,1.17,16.12,0,0.0,Nagothane Plant,GL-2300-OpEx,RCP2.6,Carbon Border Adjustment Mechanism,Group FC,CFI-FY2014-Q1-731350.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Chronic,62.62,1.14,0,0.0,Visakhapatnam Port,GL-2300-OpEx,IEA-STEPS,Sea-Level Rise — Coastal Defences,CFO,CFI-FY2014-Q1-444488.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Chronic,0.41,4.08,0,0.0,Kochi Tankage,GL-2300-OpEx,IEA-APS,Rising Avg Temp — Cooling Demand,Controller,CFI-FY2014-Q1-691075.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,0,0,111.69,0.0,Mumbai HQ,GL-4100-Impair,IEA-STEPS,Stranded Asset Impairment — Refinery,Group FC,CFI-FY2014-Q1-145640.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,0.66,35.94,0,0.0,Hyderabad Catalysis Lab,GL-1100-CapEx,NGFS-DivergentNetZero,Carbon Tax Provision (India),Controller,CFI-FY2014-Q1-115314.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Acute,1.48,34.01,0,10.76,Kolkata Distribution,GL-1200-CapEx,NGFS-NetZero2050,Flood — Plant Shutdown,CFO,CFI-FY2014-Q1-742469.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Transition,0.71,25.03,0,0.0,Kandla Terminal,GL-4100-Impair,IEA-STEPS,Carbon Price — Cap & Trade,Audit Committee,CFI-FY2014-Q1-266745.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,22.2,2.22,0,0.0,Pune R&D Center,GL-5200-Insurance,RCP4.5,Carbon Capture & Storage Pilot,Treasurer,CFI-FY2014-Q1-447162.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Acute,0.63,3.31,0,1.82,Jaipur Office,GL-2300-OpEx,IEA-NZE2050,Heatwave — Cooling Surge,Treasurer,CFI-FY2014-Q1-517153.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Transition,0.31,1.74,0,0.0,Surat Polymer Lab,GL-5200-Insurance,IEA-STEPS,EU CSRD Reporting Compliance,Treasurer,CFI-FY2014-Q1-904525.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Acute,1.52,28.35,0,11.94,Tuticorin Port Cluster,GL-2300-OpEx,IEA-STEPS,Cyclone Damage — Coastal Plant,Audit Committee,CFI-FY2014-Q1-217242.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Transition,0,0,25.77,0.0,Kolkata Distribution,GL-1200-CapEx,NGFS-DelayedTransition,Stranded Asset Impairment — Refinery,Audit Committee,CFI-FY2014-Q1-450667.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,0.11,25.15,0,0.0,Kochi Tankage,GL-6300-OpEx,RCP4.5,Carbon Tax Provision (India),Group FC,CFI-FY2014-Q1-399067.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Transition,1.02,12.12,0,0.0,Haldia Petchem,GL-6300-OpEx,IEA-NZE2050,Carbon Price — Cap & Trade,CFO,CFI-FY2014-Q1-405415.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Acute,0.11,3.44,0,0.19,Chennai Office,GL-2400-OpEx,IEA-APS,Heatwave — Cooling Surge,Treasurer,CFI-FY2014-Q1-537464.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,0,0,190.9,0.0,Indore Distribution,GL-2300-OpEx,NGFS-NetZero2050,Stranded Asset Impairment — Refinery,Controller,CFI-FY2014-Q1-732410.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,9.77,2.91,0,0.0,Kandla Terminal,GL-4100-Impair,NGFS-DivergentNetZero,Renewable PPA — Long-term Contract,Group FC,CFI-FY2014-Q1-622582.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
